Block,Trial,Robot,Valence,Action,Correct,Sham
2,125,7,Lose,Go,32,1
2,126,8,Lose,No-Go,-1,0
2,127,6,Win,No-Go,-1,0
2,128,5,Win,Go,32,0
2,129,8,Lose,No-Go,-1,0
2,130,5,Win,Go,32,0
2,131,7,Lose,Go,32,0
2,132,6,Win,No-Go,-1,0
2,133,8,Lose,No-Go,-1,0
2,134,5,Win,Go,32,0
2,135,7,Lose,Go,32,0
2,136,6,Win,No-Go,-1,0
2,137,8,Lose,No-Go,-1,1
2,138,5,Win,Go,32,0
2,139,7,Lose,Go,32,0
2,140,6,Win,No-Go,-1,1
2,141,6,Win,No-Go,-1,1
2,142,7,Lose,Go,32,0
2,143,5,Win,Go,32,0
2,144,8,Lose,No-Go,-1,0
2,145,8,Lose,No-Go,-1,0
2,146,5,Win,Go,32,0
2,147,7,Lose,Go,32,0
2,148,6,Win,No-Go,-1,0
2,149,6,Win,No-Go,-1,0
2,150,8,Lose,No-Go,-1,0
2,151,7,Lose,Go,32,0
2,152,5,Win,Go,32,0
2,153,5,Win,Go,32,0
2,154,8,Lose,No-Go,-1,0
2,155,7,Lose,Go,32,0
2,156,6,Win,No-Go,-1,0
2,157,7,Lose,Go,32,1
2,158,8,Lose,No-Go,-1,1
2,159,6,Win,No-Go,-1,0
2,160,5,Win,Go,32,1
