subject,session,comprehension,difficulty,fun,clarity,strategy,feedback
6jh3218tkyseo1xlzimcqvys,1,1,4,5,5,No.,No.
6p1y7pl0nlfw1wn9m9hgqftk,1,1,2,4,5,tried to remember,Thank You
6ueg047d0lkoiwaz3lddkv03,1,2,4,4,5,No,No
6v44zezjk7c1zcphfa0gtc1c,1,1,5,5,5,"yes, i noticed which ones gave 10 more often and minus 10 .",thanks was unique
6wf3yot4sk9y2rpa1l0uauhc,1,2,5,4,5,IDENTIFY THE COLORS,INTERESTING
73947eje09vgrmrmpi6a3lbc,1,2,5,5,5,no,nothing thanks
73axljwbabsrpj8gvfh5dabg,1,1,5,4,5,"no, just tried to spot the ""Accept"" symbols and stick with them",well-designed and explained. Thanks
74uxf3ljs4ky0ma7s0w7nm8e,1,3,4,3,5,Good strategies.,Good survey.
7bta3bfm5fbj4vsch0128msc,1,1,5,4,5,,
7gafs5x9i6b9bxf0gh9icj2g,1,2,4,4,5,no,
7iv5iyrqps4pg6vrc61221ul,1,1,4,3,4,"I found that two shapes in each block were the ones to approve. I made some initial guesses to determine them, then stuck with those two.",none
82qtd6kuuhj5kbi23lh9ebcj,1,2,1,4,4,I memorize patterns and color patterns to gain points.,very challenging task but it was fun.
84bneiymbaj8wii2y89ot9pm,1,1,3,4,5,No.,
8g18lriszq9mzwrvii4kud1f,1,1,3,4,5,I tried to name the symbols in my head to make it easier to remember which ones indicated a complete robot.,
97sn4yno3bhp0q9qiwh8ga0i,1,1,3,4,4,no,none
9kg42bzf48f7hbwsvb15dcdw,1,2,3,3,4,None,none
a74ii84ekpz0ewjmteuoo4tj,1,1,4,5,5,focus to gain bonus points,interesting task
a999bxrmsrbho722z3h1ixwx,1,1,3,2,5,No,
c04g8el6o97pgtvk4dsvt4sb,1,1,2,4,5,I just tried to make note in my head of ones not to accept.,
cfa2axc94u0j5uq6vkm6ws3k,1,1,3,3,5,just memorization,
coz12o3u8bejfxzrobndpgvr,1,1,4,5,4,took a mental note of initial incorrect/correct choices to establish the pattern of what icons were correct to pass and which to not.,n/a
cspu6oze190o8a7gb4wvbkgp,1,1,4,5,5,Didn't write anything down. I associated the symbols with yes (space) or no (nothing) to help me remember. Towards the end I thought I should see if there was a pattern to how they were coming and whether or not a change in the pattern would cause the robot to misfunction. I wish I would have thought to do this sooner because I'm curious if there was a rhyme or reason to when it would malfunction.,The malfunctioning was frustrating and very confusing at first...sometimes I thought I was going crazy until I figured out for sure which symbol went with accepting/rejecting. It was a really fun task and I'd love to do more!
d03i4yb65sex3u8dczofhk96,1,1,4,4,5,no,no
d5lczvoy71v8c7w2xhhphgcb,1,1,3,4,5,"No, just tried my best to figure out which robots were good or bad. ",
dg4z3jsbfn20de6i05xme8h3,1,1,4,4,5,Tried to see symbol patterns but results were inconsistent.,"None, thank you."
dg96lmcvm2b8cwvc7zwcmqd5,1,1,1,5,4,"No, I tried to juggle the signs and symbols in my head; then I tried to account for when the machine ""malfunctioned"" or flipped the signs around.",Fun task.
dh7lweje6pjihtj1gak632sw,1,1,4,3,5,No,
drf5o1lo33plcbhrkknsm4kz,1,1,2,1,5,No I just tried to work off memory,
dwmjnt76sup1g25gjedh2pfb,1,1,2,4,5,No,NA
e7ldy6mpet45xr7wqa1ne5pw,1,1,5,3,5,No,No
e7mfumj1wz7iq1qi1xiysp88,1,1,5,3,1,,
ea0k6vqrjovnxvqd2dcivslk,1,1,2,5,5,I tried to keep repeating what I named the symbols out loud like fork and flag were good or x and tiny square are good,this was a fun task. Also the reason my answers for the questionnaire are the way they are is because I have Bi-polar disorder (yes actually diganosed) so I go through avlot of manic and depressive episodes but my manic episodes are a lot more intense. 
fiwsf4ul3d58zfz1akws3jpo,1,1,2,4,5,I tried to remember what shape meant a rejection or acceptance.,
fp7csa2rz19l6t90s0ftwn8v,1,2,4,5,5,just remembered,everything was clear
g7qeqtu8d01e6dito8a18uii,1,1,5,4,5,no,no
gd6lbuycu8vux2kk0dz46s2w,1,1,4,4,5,I simply tried to use my memory,no
goaouki4iqik3pea65n91ckb,1,1,3,3,3,"blue was good, yellow was not, but I had no control of the numerics","if it made mistakes, how can I find a solution, no indications"
grvvupl60f45b87jqonaqxlu,1,1,4,5,5,no,none
hng0kxh86gm4sri5qed9ov88,1,1,5,5,5,No,
i1tfnk9rd0znvar0osctyab8,1,1,4,4,5,kept watching which symbols got the higher score,thank you
iivv86wxwvonnpgve4xthtu1,1,1,3,3,4,no,
im1x578djv5qys3397hkll2b,1,1,4,4,4,I only put the blue through after trial and error,no
ipgum2nxzkv3wg37c4w3qh6o,1,1,3,3,4,I remembered which ones were complete or incomplete,
ju0f49e2syj7yu56vwlehxyy,1,1,4,4,5,just tried to remember,
k7iveyein54g2c50ty7z8vxs,1,2,2,4,5,I tried to remember what signs meant the robot was complete,thanks for the opportunity
k9aubsm14o60l5ozagwbc8si,1,1,2,5,4,"No, I did not write anything down. I just tried to match the symbols with the ones that I felt would get me the most posts or at least a point and not get me negative points as often, but it was difficult sometimes!",No other comments
kdf364gyhp7cnlnv3h0wu7tq,1,1,5,4,5,I would accecpt robots untill I felt that I knew what the correct symbols were.,
kfsk05ryf7w1i41ernnh8oth,1,2,2,3,5,Identification,
kot5rz3je22hoavaecvsaodu,1,1,2,2,5,Just memorization,
kyi38hfnjulfsnfuymib41o7,1,1,5,4,5,,
lklyh5d5d62lcannsm93uvmx,1,1,4,5,5,Thought of objects for symbols,Fun!
lztau5qskxmhgxj4f07c2otv,1,1,4,3,5,No. Just focused.,No.
m2j8nqjszft6h1ryq8q61fmy,1,1,4,4,5,Accept all robots in the beginning to determine patterns and just memorize,
m8r6o4nh90s3vbwadial0bfv,1,1,1,4,5,I didn't use any strategies except trying to find a pattern and remembering it in my head.,No.
mjis8e000aa6i3mflf0qfdhn,1,1,4,3,5,i just committed the symbols to memory,thank you! stay healthy :o)
mkekir1x2ffpjt7wnlm9xupm,1,1,2,5,5,"I didn't write anything down, but I tried to remember the symbols",Interesting survey
mueq3f1w9571be42t6l3oibo,1,1,4,5,5,nothing,good  nice
mxwf5gguwvri7zxae22opke7,1,1,3,3,5,no,
ndf4cr8g95xznbyy9bzdmchn,1,1,5,2,5,Nope.,
nz9zfobqkkrija2o8wpk80pj,1,2,1,2,4,no,no
nzeb0oa79n7lannb0f6c8mgr,1,2,4,3,4,NO,GOOD
odbc1avwxhy09ukmn5ymmefe,1,1,4,4,5,"no, just remembered the symbols I wanted",none
oemai1vch0xjh2tfdr718qw6,1,1,4,3,5,"Nope. I just knew there were two robots I should  press the spacebar for and two I shouldn't. Once I figured out which two, I just kept doing it.",no comments
oj6gfmd6h8w33zu4mwdt3s71,1,1,4,4,5,I simply waited for the blue light to show to press the space bar.,None
osfqan6p1j4elf6478uhi2cc,1,2,2,4,5,Memorization of the ones that yield greater points,No additional comments
osj8m0yvw306t6y74xe9o4qn,1,1,4,2,5,I would use the first few passes to try to figure out which symbols meant complete or not and then basically stuck with that throughout. ,none at this time
p5843ltu7lw25o03nbadzsaa,1,1,2,4,5,no,no
p5f3fscxjt1ulrzv5fr3nlhx,1,2,4,3,5,Just remember the two good and two bad symbols,
q2uwl4i2899pwzypw9h23za2,1,1,4,4,5,focus,nice
qhwl1mwjpvnd9ju8e7yz68b2,1,2,1,3,1,no,This was torture
qoxp3z22sxf0oiq3tg13tfjw,1,1,4,4,4,no,
qz9a56zl60mfwv7umkwwph2d,1,1,4,4,5,"nope, just trial and error",I appreciate it!
rci3lcophxwhturxe4bx1cj9,1,1,2,5,5,no,
rl9qohmfkxokqsrwgf3e6uvz,1,1,4,4,5,No I just guessed at first and then went with what I figured out gave the right answers.,None
rvtfwjpc6ibxodgxmq16o47l,1,1,2,3,5,no,THANK YOU for the work. 
sfnb1wv4zqbp2g1pgpri2b6n,1,1,4,5,5,remember the symbols,none
sldfzozvya0866f3mwvojl0g,1,1,5,4,5,"No, I just went off of memory.",None
sm5nnykjuou0ucd6iydv21bx,1,1,5,4,5,"No, it was pretty simple.  I figured there might be some pattern to how often the machine malfunctioned, but there were too many things to juggle for me to figure it out.",Thanks!
sr0xjnvm85vs64bpp2vniu0u,1,1,2,5,3,Wrote things down.,Fun!
stgt2bwysexroszj1fsfw7m2,1,1,2,3,5,just my memory,no
t1y3gw8hh5yw5j4dcpvixjkg,1,1,4,4,4,I try to find which symbols represent a complete robot and which symbols represents an incomplete robot.,
t7zcpggxc4dw09wg818s0z8d,1,1,3,4,5,no,"its too good, i like it to do."
te8lv9mcydnr2gfteeony4tx,1,2,4,4,5,I tried the memorize the symbols as English alphabet characters.,
telvsjfuohblsio4g1vjjrf8,1,1,4,4,5,no,
tyritp9n7pxyn4jzal4fkb93,1,1,5,4,5,"Yes, but found out the strategy didn't work because it keeps changing ",No comment 
u1yahm3i373lvy46e68roh9k,1,1,4,4,5,no,Thanks for the HIT!
ubbgbypw5bvfev15ma7swm4j,1,2,4,1,4,no,no
ul8vo5g8rz3r5jp5zbtpznof,1,1,5,5,5,concentrated and act according to the instructions,very interactive study
um1mxzd3jsgdi3rt0574kybs,1,1,2,2,4,no strategy,
v32lbqm6bqaj6831d8tng6hn,1,1,5,5,5,No strategies. As soon as I identified the right symbols I knew which ones to press 'space' on. ,No other comments. 
v6ag7qnuysho3wws8lnmg47r,1,1,4,4,4,I just tried to remember the symbol that would give the highest payout or the lowest loss and remember when I needed to press space.,The game froze for about 15 to 20 seconds towards the end of the second block. The rest of the game functioned as it was supposed to.
v9k6n64hnw8hkg4cj1gi8b2p,1,2,4,5,5,no,no
va5umhs0pg7xiukmm90crtyj,1,1,4,5,5,no,nice one
vkkhzo5vo6hete7ff0czcb04,1,1,4,4,5,Just pay attention to the symbols and bonus.,nope
vlviswi01shek11svmj2n9sf,1,2,5,5,5,"not really, i just follow the protocol",great game
vunoao3ndpdppgruy4molrto,1,1,5,2,5,,
vwpb6kloy44staj1tnyrfbjk,1,1,4,5,5,no,
w4i3zftzk81kn6zqkd7jt2k7,1,1,4,4,5,I just associated what the symbols looked like with letters and by numerous trials associated the with press or not to press.,Very fun and interesting study.
w9eo0yzev6m4t90lvpo4okmt,1,1,3,3,4,no,no
wbzt9bh8zuien3221yh6rao0,1,1,5,4,5,memorization,n/a
wcl8t0q0vchm8ituba7c1ls5,1,1,2,4,4,I did not write anything down. My only strategy was figuring out how many symbols there were and which I perceived as right/wrong.,
wstj8ff7bh0vzer63dwmis3z,1,1,2,4,5,no strategies,its good
wzsrt9rz6ebtuf7xqlsmaha4,1,2,4,4,5,,
xb2gf4at9tcsmrsjjqubddrl,1,1,4,5,5,I focused on which symbols gave me +1 or +10,
xe4y3wjth90p0vfgki0beff4,1,1,4,4,5,no,none
xet0i5hcytbgz14tmtwlr9dy,1,1,3,4,5,Just tried to remember the robots,
xg2518nfozv44h2x9oibsayj,1,1,4,3,4,My only strategy was trying to remember which symbols correctly indicated a completed or incomplete robot.,
xpmique3djjgli63fytwqxx0,1,1,3,2,4,"No, not really.",
xvobs4rpjasm65b174jexrh6,1,1,2,4,5,no,
y6mtiyl0fovt18hy2cyjyhtf,1,1,5,5,5,just memorization,
yewselly2twm866hfeimbufp,1,1,3,4,5,I didn't write anything down. I tried to rely on my memory,
yioiqliweevmi62w56el04vm,1,1,4,5,5,"I did not use any strategy at all, I tried my best to memorize the rules as they came.",no comments
yjj3v9gcp2jguget50879m0g,1,1,5,4,5,,
yynz7n0qxjkm01alpqutecfa,1,1,5,4,5,no,no
zfw3qz2zykuc3bgav1o9g1mv,1,1,4,4,5,no,
zjklcju9qpwp67b3ve3bixgp,1,1,5,5,5,I tried to only click when it would light up yellow to get more points.,Thank you for the fun survey!
zkvrjxd1s6y0lm29zrko2iab,1,1,4,4,4,,
zp309icv0mikrt590td60goa,1,1,2,5,5,"During the second round I decided to reject everything and memorize the shapes/color combinations that shouldn't have been rejected, then make changes based on that",
zs0ivt9u3ettlwl99p77nrl8,1,1,4,4,5,none,none
