subject,session,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,difficulty,fun,clarity,strategy,feedback
6jphiv663y8a7ztz5tvdi7lg,1,35.71,22,4,5,4,5,0,2,5,5,"I just tried to use memory for the entirety of it - I tried to notice if robots ""switched"" needing fixed or if it was just a one-off oddity when the response was different.",Thank you for allowing me to participate!
6oznn9uweo0zvv0igie5jp1c,1,20.89,4,4,4,4,5,0,4,5,5,No. I just tried to remember the symbols vs whether they could be ignored or needed work.,That was super fun!!!!!!
72yuyu49877hzl64v55frwns,1,19.03,11,13,8,19,4,1,1,1,4,no,no
783ec1u4y9q2mvd4gn99cqle,1,22.92,2,4,4,4,4,0,2,4,5,Tried to remember the symbols the best I could,none
79ozvpaawu1czcm1lc73t8kl,1,22.2,16,4,4,4,4,0,3,4,5,Came up with descriptive words and sometimes shared between the different shapes that behaved similarly,
7bk71pzctvn6ny5uwm97cc7r,1,20.83,6,10,13,4,7,0,3,4,5,I used memory but had a hard time keeping it all in my mind,
7dus6qfm4oefh3w262k14dyl,1,23.72,31,4,4,4,6,0,3,2,4,"I started using strategies, but then realized I was better off the less I clicked.",no
7pj2tr5tvmm7sl3haj9i43h5,1,21.54,1,4,4,4,4,0,1,4,5,"No strategy, just try to remember.",None.
7qcj7p8ty67r40ibod4gc7x3,1,22.89,16,4,6,4,5,0,2,4,5,tried to remember,
8ko0akmmnehb7gb46mhscc6v,1,36.93,6,16,4,4,4,0,2,4,5,Tried to look at the symbols to make decisions,No
8v7xrdx4duw0cnoz5jm7dwii,1,24.5,4,4,7,4,4,0,3,4,5,I try to remember the trend,
8xb0w7ymbzh79dczn495d4v0,1,19.68,8,6,4,4,4,0,2,3,5,I tried to memorize which robots were giving me the least amount of points when I was wrong.,
91ozs28t2tqcv9vxg71418gq,1,19.96,374,10,6,4,4,0,2,3,5,no,thanks
9837apqznjy786osu3nc4ocv,1,27.26,0,38,4,9,4,1,3,5,5,just memory,none
a5wl0pomehy4gk4apsj1j9st,1,20.82,0,4,4,4,5,0,4,4,5,I just tried to remember as I went along,it seems like some of the robots swtiched from time to time with regard to payoff
achbubafg4n6r26s03j6fr1v,1,22.05,0,7,6,5,4,1,4,4,5,none,it went well
aiwtf29fpjnkies83n9z0s14,1,21.43,1,4,6,4,4,0,4,5,5,tried to remember symbols,none
apk0c41h1cnvhjwhzs0g913l,1,21.48,30,4,9,4,17,1,2,2,5,I tried to memorize certain shapes as right or wrong.,
bo7cc67np3rta5u4f1ucauzw,1,19.96,3,4,4,4,4,0,1,3,5,I tried to remember which one needed fixing but they seemed to change and I couldn't discern a pattern.,
bp4z9a7hwnxzktpfn6865mkt,1,25.18,32,5,7,4,5,0,2,4,5,Trying to remember from memory,none
bq4m3q5dh97uuoy8na9l56rf,1,22.36,8,10,4,7,4,1,2,4,4,"I didn't write anything down, I tried my best to remember which robots I should press space on",Thanks! 
br020pbmnr90dyxzpn07huez,1,27.51,2,7,4,4,4,0,2,4,5,"no, i just tried to remember",
buyou8v1ln54ftsmh5g3j7mz,1,26.22,8,7,4,5,5,0,5,5,5,Tried memorising in my head,interesting study
cbf9w7s33njuzmrqyn5dgujj,1,20.02,22,4,7,5,4,1,4,5,5,just tried to remember by saying something about the design in my head,
cnhti28mtom8ro1mn6gr3l7p,1,18.53,0,4,4,4,4,0,2,4,5,no,none
d8chcodi567gbbm3g0pk82m5,1,18.69,0,4,4,4,4,0,2,4,5,no,none
da9wfdtad2qj3qr8u4tawxfe,1,26.92,2,5,4,4,4,0,2,2,5,I just used my memory. I did not use any particular strategy.,No comments.
dbhecn308xrgj2w5ni5mghrw,1,21.39,0,8,5,4,5,1,2,4,4,Just brute force memory,nothing else I can think of
dg58euc52ltsfp866il0jlml,1,18.49,4,4,4,5,4,0,4,2,5,just remember which paid / deducted less,no
docukifcaouwsykbg5hxgt9o,1,26.09,2,4,5,6,4,0,4,4,5,I just tried to test each symbol a few times to figure out the probability it needed repaired or not. Also tried to think of words to match the symbols to make recalling them easier.,No comments
easlr5746k2t6yibk259ss9q,1,21.41,14,4,4,4,4,0,2,3,5,"I tried my best to notice patterns, but the RNG with some of the symbols threw me off.","Overall though, I found this task to be engaging. Thank you for the experience."
ef30xldwl7j3izl7jt7fwe6m,1,33.76,2,4,5,5,4,0,1,4,5,"I tried to write down the letter and if it needed to be repaired or not, but the pattern kept changing so it didn't do me too good",This was hard to figure out the pattern because it seemed to keep changing
eikef79388u89dy6ifgaxxa5,1,21.13,2,9,5,4,4,1,2,4,5,just tried to remember,no
el0ja8yzvrgr2l2x9dfwf5dy,1,22.2,4,4,4,7,4,0,2,5,5,"No, not at all. I just tried to rely on memory and what I thought would reasonably happen next. ",That was a neat study. Thank you for the opportunity!
eosra5kq5jfgpa0ls6nq97dr,1,21.24,16,7,4,4,4,0,4,1,4,no,no
er4bnf0luxyj6xmtp2wiehtt,1,19.27,0,4,4,4,4,0,2,2,5,"No, just tried my best to remember",No
faxwwzrl8mhwvmiw3f1k9g4o,1,21.91,85,6,7,6,4,0,2,3,3,initially I would make sure to do one classification of safe and unsafe for each symbol until I figured out which symbols were more probable to be faulty.,
ff8zqh921bzgmenoraj74hon,1,21.25,2,12,4,6,4,0,4,4,5,Tried to find a pattern,nope
fgqdcso31ckw0cfuajjwak57,1,20.42,0,4,4,4,4,0,4,4,5,no strategies used other than trying to remember which to fix vs. ignore,
fix81b5nhpbhpt6god14jgb7,1,28.96,10,5,8,4,4,0,2,4,5,,
fpwho4c7ya1xvsxmqzhicqf0,1,25.0,86,4,15,4,6,0,2,4,4,Tried to remember the symbols based on the results relative to how often the needed to be fixed.,
fuqrkpexjkdkk4msfajk735t,1,24.55,0,4,8,6,6,0,2,5,5,It was hard to try to remember all the sysmbols.,"Very interesting HIT, thank you for your time."
fxvwanb4fmwmmonm4rap8tzk,1,27.74,0,4,4,4,4,0,4,2,5,no,no
g1mud5eqvupcsb1xoy5hoikc,1,21.69,0,5,5,4,6,0,3,1,5,i realized you gain points for blue no matter what so i stopped worrying about htem and just tried to concentrate on the reds which changed up anyways so it didnt seem to matter,
gh3h1xs3ikfb6a86aqyjenui,1,34.86,12,6,10,4,5,1,5,5,5,focusing method,na
giubdn02n4iwd973mqiixdg3,1,18.87,0,4,6,4,5,0,2,1,3,"No, as the symbols changed over time.","Yes, this game was annoying. I could tell there was a red bias near the end so bonuses don't have to be paid out. The symbols and whether it repaired or not changed over time, so it was impossible to learn which one's did what."
h20euab13zkelweeeswmkfoh,1,20.87,4,5,4,4,4,0,3,4,5,Nope I just tried to remember what the trend was for each pattern.,
h5gxkod3684r9aa32umrxil3,1,29.67,18,4,4,4,4,0,2,4,5,no,none
h9ufrjijw1aoxvqerxyhpufx,1,25.73,0,4,4,5,4,0,2,5,5,"I didn't think I could write things down, but I did try to remember the symbols.","No, thank you."
hxx0z6xh5jxs3bdyo21vdbts,1,35.8,31,6,15,4,6,1,2,4,5,memory that did not work well,no
hzy9t9tvim5r8ql8zyjbg9gl,1,21.21,2,4,4,4,4,0,3,4,5,no,no
i89jr1lnd0inz4fbc28lgfx8,1,21.3,0,4,4,8,4,0,2,4,5,Nothing specific. I just tried to memorize the patterns.,
j5qn7av1mxw9g5rqogq6v93m,1,28.73,4,4,6,11,27,1,4,4,5,no,no
jaapgnx6r3fl1yumbsgijc2c,1,19.06,0,4,4,4,4,0,5,4,5,"I tried to remember if hoops or lines made a difference, and just went with luck from there.",
jo83s7ym4akhbzcroegpie8q,1,20.07,11,4,11,5,5,0,4,4,5,"no, i tried to just think and watch",no issues
jqoprhxyxvg9e3yss1ayecqe,1,20.08,6,4,4,4,4,0,2,4,5,No strategies used specifically,I have no comments
jv26ajvz0djzmxzkswpt4fu9,1,22.89,3,10,7,4,4,0,2,4,5,no,
k4eatbxs964vzfpigd04o50g,1,30.86,17,4,4,4,4,0,4,4,5,Just tried my best to memorize what shapes awarded the best outcome,Thank you very much!
k8fuu8o6273c4g6v6di5cbj9,1,25.9,12,4,4,4,6,0,2,4,5,I tried to memorize only the symbols that give the most points and deduct the least points.,N/A
kkqxne7da62qmrj6bpqzeata,1,20.37,2,4,6,4,4,0,1,4,5,I simply tried to remember as best as I could which symbols needed repairing and which didn't... It was hard and I feel pretty stupid because I didn't do that well. :(,Thank you
kr6ntq0t8qnxqaibdzv13owa,1,23.04,16,4,4,4,4,0,2,4,5,i tried associating shapes with actions,no
ku73udljp3do294wkrqry2k2,1,27.57,24,4,5,4,7,1,2,5,5,no strategies,no comments
kw2wtgt1ay84fil3dtvb5oyt,1,38.16,10,4,4,4,4,0,4,4,5,,
l4qrxyt5xb97dpedhs809pli,1,23.07,2,4,4,6,4,0,1,3,5,"No, I just tried to remember which to click or which to not click.",None
l8nfpatptckhefvtrmz4oyo1,1,19.81,4,4,4,4,6,0,4,4,5,I tried to give each shape a name in my head and remember those where I need to press the space bar,this was fun! I thought the instructions were super clear
lgcysbezmz9bhbui20pzvr6j,1,19.07,0,4,5,4,5,0,4,3,5,I took notes and adjusted them accordingly.,No comment.
lvlai80ktcme3o7kk9hpqht5,1,23.03,48,4,4,4,5,0,2,1,5,no,somewhat underpaid
lxj5m279cswf7jg5017ilczl,1,21.14,2,4,4,4,5,0,2,4,5,I just tried to rely on my memory which didn't always work so well.,none
m523oug2exaqfgf2t0q6frdc,1,20.29,0,4,9,5,4,0,4,5,5,No strategy. Just tried remembering the symbols.,no
mba28j7clrctwbbl0sbu5yp7,1,19.8,0,4,4,4,4,0,3,3,4,no,
mi82j5hqmz8df786kg0mchbx,1,28.95,4,4,4,6,5,0,2,4,5,No,
minbcos6o1oyr0o6xmfsigk1,1,19.98,2,4,4,4,4,0,2,1,5,no,no
n3kjcc191li92fq3318l08wp,1,26.75,0,23,4,4,4,0,2,4,5,Tired tested each symbol by not pressing space bar first time I saw it,none
n5l6nzah4o9ktdbafwuc1p01,1,19.99,2,4,5,4,4,0,5,5,5,just tried to remember what symbols i might lose more points with if i chose the incorrect response,
n6697tab7e29du1sv7wm18nn,1,24.14,2,5,6,6,4,0,2,4,5,just memory,
n66s9htwc7a7i30x2tpz5whu,1,23.13,8,7,7,4,41,0,2,4,4,"I tried to memorize the different symbols and how often they showed up, and which values they represented each time.",This was very well-designed. Thank you for allowing me to participate.
njqfm261bznwebjghk0pm6v5,1,27.18,10,4,8,4,6,0,2,4,4,I just tried to remember what was what and keeping track in my head of how things were changing.,"Fun experiment, thank you."
nr2pdr7ph79hwf4fzs96pf40,1,20.57,8,4,4,4,4,0,4,3,3,Tried to remember the patters,no
nrywb42hiie0c06sts7poftz,1,23.49,21,8,12,8,5,1,2,4,5,I just saw a pattern where a certain robot needed repair then it didn't like a sequence. but it was hard to stay consistent.,Thanks and stay safe.
o2em2gtw7aw0hg14jefx081h,1,20.88,0,5,5,8,4,0,2,4,5,"i started writing but the symbols were too fast, then I tried accepting all blue repairs and focusing more on the reds to recall",none at this time
o6tpq9ig7s5vj03lwk7dlejk,1,22.48,0,6,4,4,4,0,2,5,5,I tried to remember what symbols correlated to higher payoffs but it didn't work out that way.,None
odd3m5pujpk7yp1ewu5nhqlq,1,39.77,18,4,4,5,4,0,4,4,5,nope just vibed with it,appreciate the fun layout
ok5wpn9p2gc4tc2s7qfjrkm7,1,20.93,2,4,4,4,4,0,4,4,5,I just tried to remember which shapes needed repairs most often.,No.
osc4pdikkighfdrjz2bunxs8,1,26.54,0,7,4,4,4,0,1,4,5,Tried to remember what action was best for each case,none
pb62dt87bvmuq3ws8tl769wt,1,27.01,14,5,5,4,4,0,2,3,5,No I tried to remember the amount for each one but it changed even if some were the same. ,No I tried to remember the amount for each one but it changed even if some were the same. 
piiscwfohwin2do6d97tbq6u,1,22.65,0,5,4,4,4,0,2,4,5,"no I didn't write anything down, just tried to do my best remembering",Thank you
pixb2esv0o5f28podt3enzx2,1,23.94,28,4,4,6,4,0,2,4,5,just tried to remember symbols on the robot,none
px7x4u091wjdgrgqxuy7ot05,1,20.96,3,4,4,4,4,0,2,1,5,No.,
pxfh348lkt9f069ibao10bim,1,24.62,1,4,5,4,4,0,3,5,5,I just tried to pay attention and not get confused,none
q8oa1gqq6f0vre7cw144qm9a,1,22.67,1,4,4,4,4,0,4,3,5,no,no
qsmez4ay7ijmavboe2sk03f9,1,21.19,12,9,4,4,4,0,4,3,4,n,n
qthf3orc60dyuspsps4n3043,1,30.74,2,4,6,4,4,0,2,5,5,memory,
qz27rih5t2awjbeq7ifuv182,1,23.07,7,6,7,4,4,0,3,4,5,memory,no
r290tjjnbzo5rw4ls3mialc7,1,22.0,16,4,4,5,4,0,3,2,5,Just relied on my memory,
rlrudfou7q6jcsnrep94xz81,1,20.19,0,4,4,4,4,0,4,4,5,I didn't use any strategies other than memorizing which robot types I should repair/not repair.,Knowing the conversion rate of points to bonus would be appreciated. It would also be nice to know our total bonus at the end.
rmcpjimb382kkawjustdhmqf,1,20.21,0,4,4,4,4,0,2,4,5,I just tried to memorize the designs not to press space.,NA
rn6hbthvbadg81d274xx3vpm,1,26.09,0,5,6,4,4,0,3,4,5,No,No
s7zrvzr48mv4lvaajo9umck0,1,20.63,2,4,4,4,4,0,1,5,5,no,no
seo52batpmdy5scay40qsjvz,1,21.02,2,8,4,4,4,0,4,4,5,spoke to myself out loud,no
swvp3wua96ry74psjb9kodag,1,25.78,14,4,4,4,5,0,4,3,5,Remembered what symbols did what when pressing space.,none
tv52caet0zx982maj0qct1u4,1,20.53,8,4,4,4,4,0,2,4,4,no,no
twqa3uqpbnixynzri4dpy1v6,1,19.72,0,4,4,4,4,0,5,4,5,"even if I guessed wrong on blue, it was still adding points",nothing additional
uclnxfvhe3dfpfi40azui2sq,1,23.78,12,5,4,4,4,0,2,4,5,I tried to remember which symbols needed more frequent fixing,Interesting & enjoyable task!
ugx4w3bms62uyd13mrm7hzx6,1,22.11,3,5,4,4,4,1,3,4,5,none,none
uqz96lk1cp1w8wo01rzwu0hc,1,21.97,0,4,4,4,4,1,4,5,5,no,thank you
v29wp8xnvdh4cocvr8h6foqy,1,23.21,0,4,4,4,4,0,3,4,5,"I tried to remember a common thing, but that didn't work out to well.",
v93cmn00gzfocwy7abrvf5od,1,23.55,2,6,4,4,7,0,2,5,5,I just tried to remember which robots I should repair or not. But it became progressively harder to remember. ,I enjoyed participating. It was fun. Thank you!
vxs3tb5crageeg117j6hzd7y,1,18.47,1,4,4,4,4,0,2,4,5,No,
vztal13cvg8o6mycbd45qrwx,1,40.24,6,4,19,8,7,0,2,4,5,I just tried to rely on memory and pattern recognition,
w162p6wvsm42ixh01qss4l5l,1,22.27,0,5,4,4,4,0,4,4,5,"tried finding a pattern not related to the symbols (i.e. 2 repairs in a row, 1 not needed, etc).  It didnt really work all that well ","This was interesting, thank you for letting me participate"
w4u5fyb4l8txisrn7guj311e,1,21.57,0,6,7,4,4,0,3,4,4,"Honestly, I could not come up with any particular strategy.",No comments.
w59ijq0mwm34n9tie6kdf4h3,1,25.14,4,8,4,4,4,0,2,4,5,"No, none.",N/A
w5f8dys2vp9d5jmbzr1apeac,1,20.52,2,9,5,6,4,0,2,3,5,No,Thanks!
wgcsr4pnqf9h06ddy7r1g63l,1,20.56,0,8,4,4,4,0,2,4,5,I tried to remember which letters were more prone to need repair.,This was definitely a challenge. I feel I did better on block 1 than block 2 and not sure if it was set up this way.
wjuznyire06f4o925gpxsrj9,1,36.23,80,4,5,6,10,0,2,4,5,"I tried to pay attention and notice which letters on the robots tended to be closer to 50/50 in terms of correct/incorrect and I opted not to press space bar for those.  Then I would devote more attention to the letters that more frequently needed a press of the spacebar...  For those letters, I would try to come up with a simple pneumonic.  For instance, it seemed that V and K required pressing the space bar, so I remembers V and K as 'Viking' and I would say that over-and-over in my head.",I found that the HIT timer was about to run-out so I submitted the HIT with my worker ID and I will send a follow-up message with the completion code as soon as I complete the post-task survey
wvxc74j4ohslqm4o8iucrf1m,1,25.11,2,4,5,4,4,0,2,5,2,I just tried to keep track of each shape in my mind. I didn't really use any stradigies. ,
x32rr4ba92bopp11m9iyqmup,1,22.75,11,4,8,4,4,0,2,3,5,No,No
xbdh78jr4g6izcaai9ep7mom,1,22.9,0,14,4,4,4,0,4,3,5,Just try to memorize.,No
xjfwo1k2qutfq0emv06h25g4,1,32.57,10,4,6,4,4,0,2,3,5,"No, just tried to find patterns","Nope, all ran smoothly. Thanks!"
xux0m9z0l4hzrqcyyj9hhli6,1,22.53,2,4,5,4,5,0,2,5,5,Just tried to remember the designs on the chest,None
xvvfx6l6tl992j08612oxf20,1,27.15,4,4,12,4,4,0,5,5,5,none,none
y2g3nbh9r6arqdmk4elmwvgh,1,22.22,3,8,5,5,5,0,2,5,5,just tried to memorize what gained and lost more points,thank you for the opportunity to participate
yl7dsryx5cewre22ixaoflv7,1,18.92,32,5,6,5,4,0,4,5,5,didn't write anything down,"nope, good HiT"
yy7cxf0b9a83n74z3fwgvlpv,1,20.72,10,9,4,7,4,0,3,4,5,Just tried to remember the patterns of the letters based on how often they gave the most points.,
zcy7m04afz3tffovycmvepgq,1,23.22,2,4,18,10,6,0,4,2,5,I did not.,No.
zveff0eq21i2ivm84keso6ft,1,24.75,2,4,5,7,11,0,4,5,5,letter on chest,no
zyflm7syc9jzpjpkv8k25xn3,1,19.52,2,4,4,8,4,0,1,4,5,trying to just remember the ones to press,
