subject,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,age,gender-categorical,gender-free-response,ethnicity,race,language,fluency,difficulty,fun,clarity,strategy,feedback
7s9q4ckqtwmeourxppzg9pvd,30.14,28,7,6,4,4,0,26,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,2,1,5,I decided that it made more sense to press space more often for blue lights.,
8767vfkodqquba4l40esz8vv,45.15,12,9,4,4,4,0,35,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,4,3,5,memory,The end of the 2nd round had way too many defective bots
8svjnu8zx3iky5in7kon8nbk,22.47,96,4,53,5,5,0,37,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,2,5,I just tried my best to remember what was good or bad. My memory is bad though.,no
9d6lr94mr9xozsph0avbaufa,28.67,14,5,4,4,4,0,37,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,4,I tried to remember as many of the symbols as I could,No
9wz8phbootor0r6zio1475ht,21.24,12,7,4,4,5,0,46,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,5,just memorization,
aq8o3i2bxh1etn024nscrz86,20.7,0,4,14,5,25,0,36,Male,,Not Hispanic or Latino,['White'],Yes,Very well,5,4,5,just try to remember the shapes,
b93arv1eyum9fwtvz6q3ll1s,20.88,0,4,7,4,7,0,28,Female,,Not Hispanic or Latino,"['Asian', 'Black or African American', 'White']",Yes,Very well,4,5,5,"I did my best to remember and recall symbols on memory, no special strategy.",No
c8vumllq71vi50z4zpc3jta1,18.2,2,4,4,4,4,0,30,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,2,2,5,None,
cfscogl5n4zrqmchakohm55g,19.77,4,4,9,6,4,1,31,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,4,Just tried to remember what worked best,
cp2fj5rvlmbzrrvkjyr1ur8b,21.83,2,21,7,8,18,2,59,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,2,no,
eakbm58ib8jaj0dmzgbvarqr,18.5,2,4,4,4,4,0,29,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,5,4,I simply attempted to recall any patterns that suggested which symbols were likely to be more commonly positive and which negative.,This was a challenging and smartly designed experiment.
fvic5tee3f5yv5aafjimeb08,18.42,10,4,4,4,4,0,26,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,1,5,Identify the symbols that I had to press the space bar for and remember them by creating a word that uses the letters.,
fzf8saxhhtrlf9ysfzhaeu2c,24.33,16,28,6,4,4,1,38,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,2,3,5,no,no
gjc41zgi7txlh8qpzpbs4k7u,26.83,57,5,4,4,5,0,43,Female,,Hispanic or Latino,"['American Indian/Alaska Native', 'White']",Yes,Very well,2,2,5,"I tried to memorize, but it was useless. Some of the trials switched the rules, when I saw a value and wanted to repeat it I got a different result  the next time I saw the same value.","Some of the trials switched the rules, when I saw a value and wanted to repeat it I got a different result the next time I saw the same value."
gvkqsx5mf7tdv4qa8w5rzapn,25.73,9,42,12,7,11,2,30,Male,,Not Hispanic or Latino,['White'],Yes,Very well,5,5,4,Nothing else,Thi is an interesting study.
idpcmfntwguoylvidwxcg3qm,19.68,0,4,5,4,4,1,46,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,5,5,I just tried to member the symbols.  I was going to write down the symbols however the game was too fast so I relied on my memory. ,no comments thank you 
itrdyrd0hujzznzaowq7n65r,23.44,6,4,7,11,8,0,27,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,,
ixur64baw355k8jhm22ccc2t,53.1,10,6,4,5,4,1,51,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,"Too many symbols to remember, so no.",None
l4aqx5xh24z5wgrgosbh6q56,22.27,6,6,6,20,5,0,30,Male,,Not Hispanic or Latino,['White'],Yes,Very well,5,5,5,I try to remember the symbols,thanks
lowei84jhf9gn9gzyzki4knw,15.16,2,4,4,4,4,0,24,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,2,5,No,
m5hf5ojjb9tlc0f5am2m2to9,19.43,2,4,12,5,5,1,36,Male,,Not Hispanic or Latino,['Asian'],No,Very well,2,5,5,I tried to use memory to remember what symbol does what.,None
mgc5g5b2b973rgbrb4lvxizf,20.04,1,4,5,4,4,0,44,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,"I wanted to find some pattern, but I could not find it :/",Thank you!
ocjc3s6podxfd67ekzekjwdb,22.23,3,4,13,5,4,0,70,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,Tried to remember which robots paid more more often than not.,"None, thanks!"
okxzh9a1bv3y8gda8ex2047v,21.76,6,7,4,6,5,1,45,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,5,5,I took note of the signs on the chest of the robots and the scores which most of the signs resulted in when I either design to repair or do nothing ,none
p3qv891v9p6l3j73lsuvs9en,17.68,0,4,4,4,4,0,36,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,5,5,I just tried to remember and said certain letters/symbols over in my head.,Great task!
pi39tlz5174roc9gn8hysb9i,21.54,14,4,20,4,4,0,30,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,3,5,N/A,
s68vyxstbbxz1wm2a6vkpidz,26.93,4,6,94,4,4,0,38,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,5,I tried to remember what numbers were more likely to need repair but it was hard. ,no
suko9wp0ix7qmv780zsgs900,16.96,0,4,5,4,4,0,32,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,No.,No.
t3tgqpi2j0oz87odk61vrevf,20.23,10,4,4,4,6,0,39,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,3,4,5,"No, not in particular.",none
t70rffynf8yfq408ekkgqjez,21.25,4,5,5,4,5,0,54,Male,,Not Hispanic or Latino,"['Asian', 'White']",Yes,Very well,4,3,5,try to find the ones that paid the most and avoid the big losses,
tc8vnvs1au49dsttnptx21az,29.98,2,5,4,4,5,0,49,Female,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,No.,No.
tq30lcwjcqsqu05qvpboduqp,19.04,0,6,4,4,4,0,49,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,2,5,"No, there was no strategy to take, it seemed very random.",
x7tdsuyb0hbmpimidyeyokyw,19.03,0,7,4,4,4,2,35,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,"I tried to remember which letters seemed to be ones to ignore but there was a lot to keep track of, so I just did my best.",
z4ckheoldices5br8zgxs7y9,19.32,0,5,4,4,4,0,38,Female,,Not Hispanic or Latino,['Asian'],Yes,Very well,3,3,5,"No, I didn't use any strategies.",No
z95p4ig2dbq92taw7expqary,34.72,12,6,4,4,4,0,32,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,4,5,5,I tried to memorize the characters on the robots' chest.,No
zfl78jx8qhjpjk9eid916mav,19.0,0,4,4,4,4,0,45,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,2,4,no,
