subject,session,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,difficulty,fun,clarity,strategy,feedback
79ozvpaawu1czcm1lc73t8kl,3,20.4,2,4,4,4,4,0,4,5,5,"If it was new, I wouldn't repair and then I would only remember the ones that needed repair and ignore the others; thus, less symbols/letters needed to be remembered",Enjoyed it!
7pj2tr5tvmm7sl3haj9i43h5,3,19.99,1,4,4,4,6,0,2,4,5,Just tried to memorize.,"None, thank you."
7qcj7p8ty67r40ibod4gc7x3,3,24.32,16,4,4,4,4,0,2,4,5,Stick to the ones that produced consistently but adjusted as needed.,Lots of fun.
8xb0w7ymbzh79dczn495d4v0,3,18.95,6,4,4,4,4,0,4,3,5,I tried to remember which robots I needed to press space to repair.,
91ozs28t2tqcv9vxg71418gq,3,17.9,20,5,4,4,4,0,3,2,5,no,thanks
9837apqznjy786osu3nc4ocv,3,21.48,0,7,4,4,4,1,3,4,5,No.,None.
a5wl0pomehy4gk4apsj1j9st,3,21.69,2,4,4,4,4,0,4,4,5,I just tried to follow the trends in robot symbols,n/a
achbubafg4n6r26s03j6fr1v,3,20.78,0,4,5,4,4,1,2,5,5,none other than watching the symbols and numbers,"this time around was harder than the first time, I just could not remember"
aiwtf29fpjnkies83n9z0s14,3,19.52,0,4,5,4,4,1,5,5,5,tried to remember symbols,none
bo7cc67np3rta5u4f1ucauzw,3,62.3,5,6,4,4,4,0,2,3,5,I tried to remember which shapes needed repair previously.,
bp4z9a7hwnxzktpfn6865mkt,3,31.78,36,4,4,4,4,0,2,4,5,Trying to remember from memory which robots paid what,none
br020pbmnr90dyxzpn07huez,3,32.82,6,4,4,4,4,0,2,4,5,"I just tried to remember all the ones you need to fix, that cuts what you remember in half",
buyou8v1ln54ftsmh5g3j7mz,3,34.98,8,7,4,4,4,0,4,5,5,Tried memorising in my head,great study
cnhti28mtom8ro1mn6gr3l7p,3,16.96,0,4,4,4,5,0,4,5,5,none,none
d8chcodi567gbbm3g0pk82m5,3,16.9,0,5,4,4,4,0,2,4,5,just tried to remember the symbols/letters,none
da9wfdtad2qj3qr8u4tawxfe,3,21.28,0,4,4,4,4,0,2,4,5,Just tried to use my memory.,No comments.
dbhecn308xrgj2w5ni5mghrw,3,19.14,2,4,4,4,4,0,2,4,5,I tried making a mental category of symbols to press space on and ignoring everything else,"Nothing, other than I like these. And the attention check question makes me curious about the 1983 world cup. :)"
dg58euc52ltsfp866il0jlml,3,16.45,2,4,4,4,4,0,4,2,5,"no, just did my best to remember which was best",no
docukifcaouwsykbg5hxgt9o,3,21.41,0,7,4,4,4,0,3,4,5,"I usually repaired the first robot of each new design and then would go off of the initial result for the 2nd time I saw it until a pattern emerged. I also tried to think of words to match the symbols to make recalling them easier. It was easier this time to associate words with the mostly letter symbols (D=damage, G=good, etc.)",No comments
easlr5746k2t6yibk259ss9q,3,19.25,8,4,4,4,4,0,2,4,5,"I tried memorizing the symbols that required me to press the space bar, and then left the others out-of-mind.","Despite the RNG nature of some of the symbols, I actually enjoyed participating in this task."
eikef79388u89dy6ifgaxxa5,3,18.86,2,4,4,4,4,0,2,4,5,just tried to remember,no
er4bnf0luxyj6xmtp2wiehtt,3,26.03,4,4,4,4,4,0,4,4,5,"No strategies, just memory.",No
fgqdcso31ckw0cfuajjwak57,3,19.96,4,4,4,4,4,0,4,4,5,No strategies used,
fpwho4c7ya1xvsxmqzhicqf0,3,26.51,34,4,4,4,6,0,4,3,5,Just tried to remember the specific symbols in my head relative to needing to check or not. did not know I could write things down.,"hopefully my results were good enough, had a long day of work before I did this task :D"
fuqrkpexjkdkk4msfajk735t,3,21.24,0,4,4,5,4,0,2,5,5,I tried to remember the symbols,Interesting HIT.
fxvwanb4fmwmmonm4rap8tzk,3,25.39,4,4,4,4,4,0,4,4,5,tried to associate the shape with an image and remember that with yes or no depending on if it more typically needed repair or not,no
giubdn02n4iwd973mqiixdg3,3,17.44,0,4,4,4,4,0,2,2,4,none,
h20euab13zkelweeeswmkfoh,3,21.3,22,4,4,4,5,0,2,4,5,Decided based on memory.,This one was much harder for me.
h5gxkod3684r9aa32umrxil3,3,20.4,2,4,4,4,4,0,1,3,5,I tried to remember which ones seemed to need fixing/not fixing more regularly,
h9ufrjijw1aoxvqerxyhpufx,3,17.67,0,6,5,4,4,0,4,5,5,"Yes, I tried to determine which symbols consistently gave the most or subtracted the least points.",No.
hxx0z6xh5jxs3bdyo21vdbts,3,20.39,6,4,4,5,7,1,2,4,5,I tried to follow a pattern that kept changing,no ty!
hzy9t9tvim5r8ql8zyjbg9gl,3,19.88,0,4,4,4,4,0,3,3,5,just went with memory,no
i89jr1lnd0inz4fbc28lgfx8,3,18.95,0,4,4,4,4,0,4,4,5,Nothing specific. I just tried to memorize the patterns.,
jaapgnx6r3fl1yumbsgijc2c,3,20.47,0,4,4,5,4,0,5,4,5,"I tried to remember different shapes and lines, and how they affected the outcome.",
jv26ajvz0djzmxzkswpt4fu9,3,25.79,6,4,6,4,7,0,3,5,5,"no, just tried to rely on memory",
k4eatbxs964vzfpigd04o50g,3,18.46,1,4,4,4,4,0,4,3,5,Just tried my best to memorize what shapes awarded the best outcome,Thank you very much
kkqxne7da62qmrj6bpqzeata,3,20.61,0,4,4,4,4,0,2,5,5,"I just tried to remember the results of repairing or not repairing. I then applied what I learned to future robots. It was pretty hard though, felt like my memory was getting scrambled by all of the different results!","This was cool, thanks!"
ku73udljp3do294wkrqry2k2,3,18.94,2,4,4,4,4,0,1,5,5,I didn't,no comments
kw2wtgt1ay84fil3dtvb5oyt,3,128.5,36,4,4,4,4,0,5,4,5,,
l4qrxyt5xb97dpedhs809pli,3,20.21,0,4,4,4,4,0,1,4,5,I just tried to remember which was which. Nothing more complicated than that.,"This is hard, all of the symbols start to blur at the end."
l8nfpatptckhefvtrmz4oyo1,3,18.87,0,5,4,4,5,0,4,4,5,I tried to remember the string of letters I needed to push the spacebar for,This was fun to play again! I enjoyed it. Please consider me for future studies!
lgcysbezmz9bhbui20pzvr6j,3,17.44,0,7,4,4,4,0,5,3,5,I took notes and adjusted them accordingly.,No comment.
lxj5m279cswf7jg5017ilczl,3,24.57,0,4,4,4,4,0,1,3,5,I just tried to rely on my memory which didn't always work so well.,"There was a question in the pre-survey where I answered never to whether I remember my name or not. My memory is not that bad. I hope that it is not seen as answering randomly to keep me from future experiments. Also, I seemed to do worse this time around. I could not get any consistency going this time around."
n3kjcc191li92fq3318l08wp,3,21.11,0,4,4,4,4,0,4,4,5,I used the letters to come up with words that start with that letter reminding me what action to take,none
n6697tab7e29du1sv7wm18nn,3,19.08,0,6,4,4,4,0,2,4,5,just memory,
njqfm261bznwebjghk0pm6v5,3,47.65,6,4,4,4,4,0,2,4,5,Just tried to remember the good and bad symbols.,"Fun experiment, thank you."
nr2pdr7ph79hwf4fzs96pf40,3,18.99,2,4,4,4,4,0,4,4,5,I remembered the ones that were most in need of repair and those that were not.,
nrywb42hiie0c06sts7poftz,3,20.88,9,5,4,4,4,1,5,5,5,When the outcome of a symbol switched from correct to wrong or vice verse i would just remind myself that its a lie and in the next one it will switch back. It really helped.,I think i was on it today. Thanks.
ok5wpn9p2gc4tc2s7qfjrkm7,3,17.94,2,4,4,4,4,0,3,4,5,"I tried to remember which symbols to press the space bar for, and ignored the others.",No.
osc4pdikkighfdrjz2bunxs8,3,22.72,0,4,4,4,4,0,2,4,5,Tried remembering which bots gained me the most or lost the least,none
piiscwfohwin2do6d97tbq6u,3,19.24,0,4,4,4,4,0,2,4,5,"no I didn't write anything down, just tried to do my best remembering",Thank you
pxfh348lkt9f069ibao10bim,3,22.45,1,4,4,4,4,0,2,5,5,I just tried to remember which shape gave a better value and how often it changed to the other value,none
q8oa1gqq6f0vre7cw144qm9a,3,17.67,1,4,4,4,4,0,4,3,4,try to remember symbols tending to need more repair,no
qsmez4ay7ijmavboe2sk03f9,3,29.92,12,4,4,4,4,0,4,3,5,n,n
qz27rih5t2awjbeq7ifuv182,3,26.42,3,4,4,4,4,0,2,3,4,only memory,no
r290tjjnbzo5rw4ls3mialc7,3,21.66,0,4,12,4,4,0,2,4,5,It was very hard to keep track of the symbols this time around so I didn't really have a strategy.,None
rlrudfou7q6jcsnrep94xz81,3,17.67,2,4,4,4,4,0,4,4,5,No strategies other than memorizing which robots were more likely to need repairs.,No comments.
rmcpjimb382kkawjustdhmqf,3,17.23,2,4,4,4,4,0,2,4,5,Just tried to memorize what I had to press space for or not.,NA
s7zrvzr48mv4lvaajo9umck0,3,17.84,0,4,4,4,4,0,2,4,5,no,no
seo52batpmdy5scay40qsjvz,3,18.29,0,4,4,4,4,0,2,4,5,spoke to myself out loud and trial and error,no
swvp3wua96ry74psjb9kodag,3,18.71,10,4,4,4,4,0,4,3,5,Remembered what symbols did what when pressing space.,none
twqa3uqpbnixynzri4dpy1v6,3,17.96,0,4,4,10,4,0,4,4,5,"even if I guessed wrong on blue, it was still adding points, so I concentrated more attention to the red",no
uclnxfvhe3dfpfi40azui2sq,3,20.97,4,4,4,4,4,0,4,5,5,I tried to remember which symbols needed more frequent fixing,Fun & enjoyable experiment!
uqz96lk1cp1w8wo01rzwu0hc,3,22.29,0,4,4,4,4,1,3,5,5,Just trying to memorize but I think I did wore in this game than the others,thank you
v93cmn00gzfocwy7abrvf5od,3,25.9,2,4,4,5,4,0,2,5,5,I just tried to remember the symbols and which robots should be repaired. I didn't write anything down. ,It was fun. Thank you for inviting me back for another round!
vztal13cvg8o6mycbd45qrwx,3,28.04,6,4,4,4,4,0,2,4,5,I just tried to rely on memory and pattern recognition,This was fun and extremely challenging
w4u5fyb4l8txisrn7guj311e,3,18.15,4,4,4,4,4,0,3,4,4,I did not use any particular strategy.,No comments.
w59ijq0mwm34n9tie6kdf4h3,3,24.99,2,6,4,4,4,0,2,3,5,"No, I had no strategy.",N/A
wgcsr4pnqf9h06ddy7r1g63l,3,20.69,1,4,4,4,4,0,2,4,5,On the first block I tried to concentrate on learning a select few tendencies. On the second block I zoned in on trying to learn them all and felt like I did much better.,This was very interesting but it frustrated me sometimes trying to figure out the tendencies.
wjuznyire06f4o925gpxsrj9,3,466.66,39,4,4,4,4,0,2,3,5,"I tried to pay attention and notice which letters on the robots tended to be closer to 50/50 in terms of correct/incorrect and I opted not to press space bar for those.  Then I would devote more attention to the letters that more frequently needed a press of the spacebar...  For those letters, I would try to come up with a simple pneumonic.  For instance, it seemed that V and K required pressing the space bar, so I remembers V and K as 'Viking' but this was of limited.  However, for this game it was quite hard to predict each card/shape and it seemed like it was more frequent then 50% of the time.",Thank you !  THis was quite challenging!
wvxc74j4ohslqm4o8iucrf1m,3,24.83,0,4,4,4,4,0,1,4,4,I just tried my best to memorize each shape. ,"This was my third time doing this task. I have to say the shapes are much more difficult to work with than letters from last week. Because the shapes are illegible, a lot of them often look identical in shape. "
x32rr4ba92bopp11m9iyqmup,3,18.31,5,5,4,4,4,0,5,3,5,No,No
xbdh78jr4g6izcaai9ep7mom,3,19.68,0,6,4,4,4,0,3,3,5,Just try to memorize.,No
xjfwo1k2qutfq0emv06h25g4,3,55.7,6,5,4,4,4,0,2,4,5,"No, just tried to find patterns",
xux0m9z0l4hzrqcyyj9hhli6,3,19.05,0,4,4,4,4,0,2,5,5,Just tried to remember the designs on the chest,"Thank you for this, I enjoy it very much!"
xvvfx6l6tl992j08612oxf20,3,27.84,8,5,7,4,4,0,5,5,5,none,
y2g3nbh9r6arqdmk4elmwvgh,3,19.27,3,4,4,4,4,0,2,5,5,"No strategy, just used my memory",thank you for the opportunity to participate again. This was a fun study!
yl7dsryx5cewre22ixaoflv7,3,17.33,2,4,4,4,4,0,4,4,5,not in particular,
yy7cxf0b9a83n74z3fwgvlpv,3,19.7,10,4,4,4,4,0,4,3,5,Tried to keep in mind the symbols and if they are usually broken or not.,
zyflm7syc9jzpjpkv8k25xn3,3,18.93,0,5,4,6,6,1,2,4,5,"just remembering which ones that I need to press space for and ignoring all the rest, keep repeating the sequence in my head so as not to forget it.",
