subject,session,total,interactions,practice_01,practice_02,practice_03,practice_04,comprehension,age,gender-categorical,gender-free-response,ethnicity,race,language,fluency,difficulty,fun,clarity,strategy,feedback
1nn8ci654pmi5ny2ho1q3dxi,3,18.38,3,4,4,4,4,0,,,,,,,,2,5,5,I mentally gave some of the shapes names to make them easier to remember,no
1t88tcsrpx0267b6ib7qsgov,1,21.84,13,4,17,4,4,0,34,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,5,I tried to remember which symbol was what. I gave the symbols names based off what they looked like to me. They kept changing their value though.,
1x1nx1osbu2zlwgn0g8w6ngc,1,28.89,0,39,6,8,7,0,40,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,3,4,no I don't think anything would have worked.,
1x8zaa76pikfxwotrhhxcogi,1,21.4,10,6,4,4,4,0,30,Male,,Not Hispanic or Latino,['White'],Yes,Very well,5,5,5,I simply tested each choice for the patterns and stuck to the choices that the pattern was most likely to be based on previous examples.,Was actually a lot more fun then I would have thought!  Really enjoyed the game and task.
1x8zaa76pikfxwotrhhxcogi,2,22.2,2,4,4,4,4,0,,,,,,,,4,5,5,I tried using more intuition and a little bit of memory but sometimes the same symbols rewarded different answers so it was hard to predict.,No other comments
1x8zaa76pikfxwotrhhxcogi,3,21.0,30,4,4,4,4,0,,,,,,,,2,5,5,I did what I did the past time.  To try to test each option and see how likely they are to need repair or not and try to choose the right option after I see enough of the pattern.,Very fun and interesting game to play!  Hope you do more of these they are really enjoyable!
1ztbhfxllii1xhq9f1v62x26,1,22.35,0,4,6,4,7,0,52,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,5,5,No I just tried to remember and find a pattern ,Thanks stay safe and good luck with your work.
1ztbhfxllii1xhq9f1v62x26,2,23.27,2,5,4,6,5,0,,,,,,,,4,5,5,Just tried to notice patterns.,Thanks stay safe and good luck with your work
1ztbhfxllii1xhq9f1v62x26,3,18.74,0,4,5,4,4,0,,,,,,,,3,5,5,Just ried to look for patterns ,Love it wish we could see our score as we play. Thanks good luck with your work
2b5obc6ufsggq6sv58asdi6i,1,26.99,6,4,4,4,7,0,41,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,5,5,"I simply tried to pay attention to the trends regarding which robots should be repaired. However, I found this changed over time throughout the study so I tried to pay attention to the changes as well. I am not certain that this was an effective strategy since I seemed to make the wrong choices frequently during the task. ",Very interesting study. Thanks for the opportunity. 
2b5obc6ufsggq6sv58asdi6i,2,29.3,0,4,4,5,4,0,,,,,,,,4,5,5,"Initially, I had to guess which robots needed repair versus which robots should be ignored. I paid attention to the points awarded until I was able to establish a pattern of which robots to repair/ignore. I also paid attention to any of the robots changing repair/ignore status throughout the game. Since this version of the game had symbols on the robots, I associated the symbols with something familiar (for example, one of the symbols looked like an upside down house and others looked like letters). This helped me remember the robots a bit more vividly since the symbols were not familiar to me.  ",This was a very interesting study. Thanks for the opportunity. 
2b5obc6ufsggq6sv58asdi6i,3,22.23,0,4,4,4,4,0,,,,,,,,2,5,5,I tried to remember the symbols on the robot's chest by relating them to a familiar letter or picture. I tried to identify which robots needed repair and paid attention to trends in points values changing that would indicate the robot had changed status from needing repair to not needing repair. ,This was a very interesting study. It was definitely a bit more challenging as more symbols were introduced but I enjoyed it and appreciate the opportunity. 
3bjwmrvejholhv36ho3y3mh8,1,19.38,2,4,4,4,4,0,23,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,"I certainly tried to, but those robots insisted on giving me as few points as possible.  I'm convinced I would've been better off just letting the damn thing run without ever repairing anything !",
3bjwmrvejholhv36ho3y3mh8,2,19.81,2,4,4,4,4,0,,,,,,,,4,5,5,"Whenever I saw a new robot, I'd try to do the same strategy on it the first few times I saw it so I could get a picture of whether it usually needs to be repaired or not.",
3bjwmrvejholhv36ho3y3mh8,3,21.09,2,4,4,4,4,0,,,,,,,,2,5,5,"I tried to keep track of the robots I needed to repair and those I did not.  As in the previous rounds, this was a very challenging thing to do.  While some robots seemed mostly consistent in whether they needed to be repaired, others seemed to flip-flop each time they passed by (though that could also just be my perception).",
3bknwsvw7q20c258tj3mizqh,1,23.65,0,8,6,5,5,0,40,Male,,Not Hispanic or Latino,['White'],Yes,Very well,5,5,5,,
3dxymdwzr013a9mhzr3wrqo9,1,21.44,2,6,4,4,4,0,59,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,5,no,
3kg0pvgsyc9iqyb89p6yr1oh,1,22.91,4,46,6,4,4,0,54,Female,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,"no, just tried to memorize the symbols",
3kg0pvgsyc9iqyb89p6yr1oh,2,19.77,0,4,4,4,4,0,,,,,,,,4,5,5,"found it a little easier this time sorting between red and blue, and positive and negative",no
3kg0pvgsyc9iqyb89p6yr1oh,3,18.94,0,4,4,4,4,0,,,,,,,,4,5,5,"no, just tried to memorize the symbols",no
41n6nzd0x6ka5vdi63op8le0,1,22.47,0,4,4,4,4,0,32,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,I tried to remember whether pressing space for particular shapes yielded points more often and repeated patterns if I saw them.,
41n6nzd0x6ka5vdi63op8le0,2,19.08,0,4,4,4,4,0,,,,,,,,2,4,5,I specifically kept to certain actions for certain symbols until I saw a pattern then I tried to follow the pattern if I did see one.,
41tzei8zdxnl7g0ylu26ieur,1,20.69,0,7,4,4,4,0,41,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,no,no
41tzei8zdxnl7g0ylu26ieur,2,18.53,0,4,4,4,4,0,,,,,,,,3,4,5,no,no
41tzei8zdxnl7g0ylu26ieur,3,17.61,0,4,4,4,4,0,,,,,,,,4,4,5,no,no
46b5352aly4p8vyup0c3qupa,1,22.27,16,4,4,7,6,0,36,Male,,Hispanic or Latino,['White'],Yes,Very well,2,4,5,I tried my best to remember which robots that usually needed repairs.,None.
46b5352aly4p8vyup0c3qupa,2,20.71,18,4,4,4,4,0,,,,,,,,2,4,5,I only memorized the symbols that earned me points or lost me points.,None.
46b5352aly4p8vyup0c3qupa,3,25.17,20,4,4,4,5,0,,,,,,,,4,3,5,I concentrated on remembering the symbols of the robots that caused me to lose more points or not gain as many points when I didn't fix them.,None.
4eieaza893bbdomymq9tbyc5,1,21.07,5,4,4,4,4,0,32,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,5,no,wouldn't be surprised if the median bonus is zero
4eieaza893bbdomymq9tbyc5,2,17.39,1,4,4,4,4,0,,,,,,,,2,3,5,"no, just very limited brainpower",nope
4eieaza893bbdomymq9tbyc5,3,17.75,3,4,4,4,4,0,,,,,,,,2,3,5,no,
4pslf12zjxl5o101sd4874sx,1,28.79,15,7,4,4,4,0,27,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,nope,none
4pslf12zjxl5o101sd4874sx,2,24.24,17,4,4,4,4,0,,,,,,,,4,4,5,,
4pslf12zjxl5o101sd4874sx,3,81.88,11,4,4,4,4,0,,,,,,,,4,4,5,remembering space robots ,
54fjwf0mzvlpbybzj7v87eq1,1,20.31,0,5,5,4,4,0,26,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,2,5,"No I really couldn't as as soon as I thought I knew which one was right, it changed.",Nope
54fjwf0mzvlpbybzj7v87eq1,2,17.67,8,4,4,4,4,0,,,,,,,,2,4,5,Not really.,Nope
54fjwf0mzvlpbybzj7v87eq1,3,18.12,6,5,4,4,4,0,,,,,,,,2,4,5,"Not really, just tried to remember the shapes and adjust accordingly.",Nope
55dxh6v7nb1nnkvit5kjedbq,1,24.18,6,14,6,6,5,0,31,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,4,4,5,No.,none
55dxh6v7nb1nnkvit5kjedbq,2,18.33,4,4,4,4,4,0,,,,,,,,2,4,5,No.,none
55dxh6v7nb1nnkvit5kjedbq,3,17.87,0,4,4,4,4,0,,,,,,,,3,4,5,No.,none
5lsfzqrcs8ztdl2pc36tmwu3,1,21.67,2,4,6,4,4,1,60,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,"just tried using my memory, but didn't work so well, haha",thanks very interesting
5lsfzqrcs8ztdl2pc36tmwu3,2,23.47,0,4,4,4,7,1,,,,,,,,2,4,5,"just tried  memorizing some symbols, but I have poor short term memory, and it was hard",thankyou
5lsfzqrcs8ztdl2pc36tmwu3,3,20.75,0,5,4,4,7,0,,,,,,,,2,4,5,"just tried memorizing some symbols, but I have poor short term memory, and it was a bit hard",fun task though
5n1hjh6yfczmmzzimlklbfaj,1,21.04,0,13,4,4,4,0,35,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,5,5,I just tried to memorize which robots needed fixing by repeating their symbols outloud.,N/A
5n1hjh6yfczmmzzimlklbfaj,2,18.22,0,4,4,4,4,0,,,,,,,,5,5,5,"I tried to memorize the symbols by giving them names such as ""angle"", ""T"", ""U"", ""egg"", etc.",N/A
5qjy91ur43ogk7o0fgtcw0th,1,18.55,6,4,4,4,4,0,25,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,Try and remember which letter robot needed repair more then others,
6cs1cik27rzom6hdxkxjvi6l,1,21.04,0,5,4,4,4,0,59,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,5,5,I wrote a few things down but then the numbers would switch up on me so I don't think that was very effective.,
6dkbbv31sjm0hnj3pyqaekq9,1,21.58,0,31,4,4,4,0,38,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,No,Thank you.
6i7597afcwp4fjqgxuc3slbz,1,18.72,20,4,23,4,4,1,30,Male,,Hispanic or Latino,['Rather not say'],Yes,Very well,2,5,5,No. Just mainly memorization,God bless and keep safe amigos
6jphiv663y8a7ztz5tvdi7lg,1,35.71,22,4,5,4,5,0,29,Other,Non Binary,Not Hispanic or Latino,"['American Indian/Alaska Native', 'White']",Yes,Very well,2,5,5,"I just tried to use memory for the entirety of it - I tried to notice if robots ""switched"" needing fixed or if it was just a one-off oddity when the response was different.",Thank you for allowing me to participate!
6jphiv663y8a7ztz5tvdi7lg,2,18.87,4,4,4,4,4,0,,,,,,,,1,4,5,Just the same as last time,I feel kind of upset right now. :(
6jphiv663y8a7ztz5tvdi7lg,3,20.15,12,4,4,4,4,0,,,,,,,,4,4,5,This time I purposefully remembered the robots I needed to repair; and not to try to remember the ones I -didn't- need to repair - It meant I only had to focus on 2 or 3 symbols at a time and helped me immensely.,You rock! You rule! 
6oznn9uweo0zvv0igie5jp1c,1,20.89,4,4,4,4,5,0,55,Female,,Not Hispanic or Latino,"['American Indian/Alaska Native', 'White']",Yes,Very well,4,5,5,No. I just tried to remember the symbols vs whether they could be ignored or needed work.,That was super fun!!!!!!
6oznn9uweo0zvv0igie5jp1c,2,19.55,5,5,4,4,4,0,,,,,,,,5,5,5,No. I just tried to remember the symbols vs whether they could be ignored or needed work.,
6oznn9uweo0zvv0igie5jp1c,3,20.35,7,5,5,4,4,0,,,,,,,,4,5,5,No. I just tried to remember the symbols vs whether they could be ignored or needed work.,
72yuyu49877hzl64v55frwns,1,19.03,11,13,8,19,4,1,38,Male,,Not Hispanic or Latino,['White'],Yes,Very well,1,1,4,no,no
72yuyu49877hzl64v55frwns,2,20.71,21,4,4,4,22,0,,,,,,,,2,1,4,no,no
72yuyu49877hzl64v55frwns,3,41.69,19,4,10,4,4,0,,,,,,,,3,2,4,,
783ec1u4y9q2mvd4gn99cqle,1,22.92,2,4,4,4,4,0,44,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,Tried to remember the symbols the best I could,none
783ec1u4y9q2mvd4gn99cqle,2,20.16,2,4,4,4,4,0,,,,,,,,2,4,5,Tried to remember the symbols the best I could,none
783ec1u4y9q2mvd4gn99cqle,3,19.17,0,4,4,4,4,0,,,,,,,,2,4,5,Tried to remember the symbols the best I could,none
79ozvpaawu1czcm1lc73t8kl,1,22.2,16,4,4,4,4,0,44,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,Came up with descriptive words and sometimes shared between the different shapes that behaved similarly,
79ozvpaawu1czcm1lc73t8kl,2,21.4,8,4,4,4,4,0,,,,,,,,3,5,5,I just named things with common words and tried to remember which names I should click on.,
79ozvpaawu1czcm1lc73t8kl,3,20.4,2,4,4,4,4,0,,,,,,,,4,5,5,"If it was new, I wouldn't repair and then I would only remember the ones that needed repair and ignore the others; thus, less symbols/letters needed to be remembered",Enjoyed it!
7bk71pzctvn6ny5uwm97cc7r,1,20.83,6,10,13,4,7,0,42,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,4,5,I used memory but had a hard time keeping it all in my mind,
7dus6qfm4oefh3w262k14dyl,1,23.72,31,4,4,4,6,0,35,Female,,Not Hispanic or Latino,['White'],Yes,Very well,3,2,4,"I started using strategies, but then realized I was better off the less I clicked.",no
7pj2tr5tvmm7sl3haj9i43h5,1,21.54,1,4,4,4,4,0,28,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,5,"No strategy, just try to remember.",None.
7pj2tr5tvmm7sl3haj9i43h5,2,19.3,1,4,4,4,4,0,,,,,,,,2,5,5,Just try to remember and pay attention for changes.,none.
7pj2tr5tvmm7sl3haj9i43h5,3,19.99,1,4,4,4,6,0,,,,,,,,2,4,5,Just tried to memorize.,"None, thank you."
7qcj7p8ty67r40ibod4gc7x3,1,22.89,16,4,6,4,5,0,43,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,tried to remember,
7qcj7p8ty67r40ibod4gc7x3,2,23.59,34,5,4,4,4,0,,,,,,,,2,5,5,I repeated in my mind over and over just the ones I should click the spacebar on,
7qcj7p8ty67r40ibod4gc7x3,3,24.32,16,4,4,4,4,0,,,,,,,,2,4,5,Stick to the ones that produced consistently but adjusted as needed.,Lots of fun.
8ko0akmmnehb7gb46mhscc6v,1,36.93,6,16,4,4,4,0,54,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,Tried to look at the symbols to make decisions,No
8v7xrdx4duw0cnoz5jm7dwii,1,24.5,4,4,7,4,4,0,30,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,3,4,5,I try to remember the trend,
8xb0w7ymbzh79dczn495d4v0,1,19.68,8,6,4,4,4,0,31,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,5,I tried to memorize which robots were giving me the least amount of points when I was wrong.,
8xb0w7ymbzh79dczn495d4v0,2,18.19,0,4,4,4,4,0,,,,,,,,2,3,5,I just tried to visually memorize which bots to take actions on.,
8xb0w7ymbzh79dczn495d4v0,3,18.95,6,4,4,4,4,0,,,,,,,,4,3,5,I tried to remember which robots I needed to press space to repair.,
91ozs28t2tqcv9vxg71418gq,1,19.96,374,10,6,4,4,0,33,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,5,no,thanks
91ozs28t2tqcv9vxg71418gq,2,26.75,88,4,4,4,4,0,,,,,,,,4,3,5,no,thanks
91ozs28t2tqcv9vxg71418gq,3,17.9,20,5,4,4,4,0,,,,,,,,3,2,5,no,thanks
9837apqznjy786osu3nc4ocv,1,27.26,0,38,4,9,4,1,46,Male,,Not Hispanic or Latino,['White'],Yes,Very well,3,5,5,just memory,none
9837apqznjy786osu3nc4ocv,2,21.28,0,4,4,4,4,0,,,,,,,,4,5,5,Memory alone.,None.
9837apqznjy786osu3nc4ocv,3,21.48,0,7,4,4,4,1,,,,,,,,3,4,5,No.,None.
a5wl0pomehy4gk4apsj1j9st,1,20.82,0,4,4,4,5,0,42,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,I just tried to remember as I went along,it seems like some of the robots swtiched from time to time with regard to payoff
a5wl0pomehy4gk4apsj1j9st,2,20.79,2,4,4,4,4,0,,,,,,,,4,4,5,I just tried to keep track of the trends in what robots needed repairs as I went,n/a
a5wl0pomehy4gk4apsj1j9st,3,21.69,2,4,4,4,4,0,,,,,,,,4,4,5,I just tried to follow the trends in robot symbols,n/a
achbubafg4n6r26s03j6fr1v,1,22.05,0,7,6,5,4,1,46,Female,,Hispanic or Latino,['White'],Yes,Very well,4,4,5,none,it went well
achbubafg4n6r26s03j6fr1v,3,20.78,0,4,5,4,4,1,,,,,,,,2,5,5,none other than watching the symbols and numbers,"this time around was harder than the first time, I just could not remember"
aiwtf29fpjnkies83n9z0s14,1,21.43,1,4,6,4,4,0,57,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,4,5,5,tried to remember symbols,none
aiwtf29fpjnkies83n9z0s14,2,21.35,0,4,16,13,5,1,,,,,,,,4,5,5,tried to remember symbols,none
aiwtf29fpjnkies83n9z0s14,3,19.52,0,4,5,4,4,1,,,,,,,,5,5,5,tried to remember symbols,none
apk0c41h1cnvhjwhzs0g913l,1,21.48,30,4,9,4,17,1,32,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,2,5,I tried to memorize certain shapes as right or wrong.,
bo7cc67np3rta5u4f1ucauzw,1,19.96,3,4,4,4,4,0,35,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,3,5,I tried to remember which one needed fixing but they seemed to change and I couldn't discern a pattern.,
bo7cc67np3rta5u4f1ucauzw,2,22.87,1,4,4,4,4,0,,,,,,,,1,3,5,"I tried to guess which would need fixing based on whether they did in the past, but they seemed to change often.",
bo7cc67np3rta5u4f1ucauzw,3,62.3,5,6,4,4,4,0,,,,,,,,2,3,5,I tried to remember which shapes needed repair previously.,
bp4z9a7hwnxzktpfn6865mkt,1,25.18,32,5,7,4,5,0,27,Male,,Hispanic or Latino,['White'],Yes,Very well,2,4,5,Trying to remember from memory,none
bp4z9a7hwnxzktpfn6865mkt,2,28.84,42,4,4,4,4,0,,,,,,,,2,4,5,Trying to remember which robots pay what,none
bp4z9a7hwnxzktpfn6865mkt,3,31.78,36,4,4,4,4,0,,,,,,,,2,4,5,Trying to remember from memory which robots paid what,none
bq4m3q5dh97uuoy8na9l56rf,1,22.36,8,10,4,7,4,1,24,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,4,"I didn't write anything down, I tried my best to remember which robots I should press space on",Thanks! 
br020pbmnr90dyxzpn07huez,1,27.51,2,7,4,4,4,0,31,Male,,Not Hispanic or Latino,"['Black or African American', 'White']",Yes,Very well,2,4,5,"no, i just tried to remember",
br020pbmnr90dyxzpn07huez,2,18.32,14,4,4,4,4,0,,,,,,,,2,4,5,i tried naming the symbols in  my head,
br020pbmnr90dyxzpn07huez,3,32.82,6,4,4,4,4,0,,,,,,,,2,4,5,"I just tried to remember all the ones you need to fix, that cuts what you remember in half",
buyou8v1ln54ftsmh5g3j7mz,1,26.22,8,7,4,5,5,0,27,Male,,Not Hispanic or Latino,['White'],Yes,Very well,5,5,5,Tried memorising in my head,interesting study
buyou8v1ln54ftsmh5g3j7mz,2,19.92,6,4,4,4,4,0,,,,,,,,5,5,5,Tried and watched for a pattern,"interesting study, thank you"
buyou8v1ln54ftsmh5g3j7mz,3,34.98,8,7,4,4,4,0,,,,,,,,4,5,5,Tried memorising in my head,great study
cbf9w7s33njuzmrqyn5dgujj,1,20.02,22,4,7,5,4,1,35,Female,,Not Hispanic or Latino,['White'],Yes,Very well,4,5,5,just tried to remember by saying something about the design in my head,
cnhti28mtom8ro1mn6gr3l7p,1,18.53,0,4,4,4,4,0,45,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,no,none
cnhti28mtom8ro1mn6gr3l7p,2,17.37,4,4,4,4,5,0,,,,,,,,4,4,5,no,none
cnhti28mtom8ro1mn6gr3l7p,3,16.96,0,4,4,4,5,0,,,,,,,,4,5,5,none,none
d8chcodi567gbbm3g0pk82m5,1,18.69,0,4,4,4,4,0,38,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,no,none
d8chcodi567gbbm3g0pk82m5,2,18.0,0,5,4,4,4,0,,,,,,,,2,4,5,just tried to remember the symbols,none
d8chcodi567gbbm3g0pk82m5,3,16.9,0,5,4,4,4,0,,,,,,,,2,4,5,just tried to remember the symbols/letters,none
da9wfdtad2qj3qr8u4tawxfe,1,26.92,2,5,4,4,4,0,28,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,2,2,5,I just used my memory. I did not use any particular strategy.,No comments.
da9wfdtad2qj3qr8u4tawxfe,2,21.37,0,4,4,4,4,0,,,,,,,,2,4,5,Just using my memory. I did not write anything down.,No comments.
da9wfdtad2qj3qr8u4tawxfe,3,21.28,0,4,4,4,4,0,,,,,,,,2,4,5,Just tried to use my memory.,No comments.
dbhecn308xrgj2w5ni5mghrw,1,21.39,0,8,5,4,5,1,46,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,4,Just brute force memory,nothing else I can think of
dbhecn308xrgj2w5ni5mghrw,2,18.09,0,4,4,4,4,0,,,,,,,,2,3,5,No strategy other than trying to remember the symbol and the best outcome,This time seemed harder than the first task.
dbhecn308xrgj2w5ni5mghrw,3,19.14,2,4,4,4,4,0,,,,,,,,2,4,5,I tried making a mental category of symbols to press space on and ignoring everything else,"Nothing, other than I like these. And the attention check question makes me curious about the 1983 world cup. :)"
dg58euc52ltsfp866il0jlml,1,18.49,4,4,4,5,4,0,41,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,2,5,just remember which paid / deducted less,no
dg58euc52ltsfp866il0jlml,2,16.63,2,4,4,4,4,0,,,,,,,,4,2,5,"no, just did my best to remember which was best",no
dg58euc52ltsfp866il0jlml,3,16.45,2,4,4,4,4,0,,,,,,,,4,2,5,"no, just did my best to remember which was best",no
docukifcaouwsykbg5hxgt9o,1,26.09,2,4,5,6,4,0,48,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,I just tried to test each symbol a few times to figure out the probability it needed repaired or not. Also tried to think of words to match the symbols to make recalling them easier.,No comments
docukifcaouwsykbg5hxgt9o,2,110.88,24,4,4,4,4,0,,,,,,,,3,4,5,I usually repaired the first robot of each new design and then would go off of the initial result for the 2nd time I saw it until a pattern emerged. I also tried to think of words to match the symbols to make recalling them easier.,No comments
docukifcaouwsykbg5hxgt9o,3,21.41,0,7,4,4,4,0,,,,,,,,3,4,5,"I usually repaired the first robot of each new design and then would go off of the initial result for the 2nd time I saw it until a pattern emerged. I also tried to think of words to match the symbols to make recalling them easier. It was easier this time to associate words with the mostly letter symbols (D=damage, G=good, etc.)",No comments
easlr5746k2t6yibk259ss9q,1,21.41,14,4,4,4,4,0,31,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,3,5,"I tried my best to notice patterns, but the RNG with some of the symbols threw me off.","Overall though, I found this task to be engaging. Thank you for the experience."
easlr5746k2t6yibk259ss9q,2,18.87,2,4,4,4,4,0,,,,,,,,2,4,5,"This time, I paid more attention to the symbols that required repair, and tended to ignore the others. ",I had more fun than I expected taking this task again.
easlr5746k2t6yibk259ss9q,3,19.25,8,4,4,4,4,0,,,,,,,,2,4,5,"I tried memorizing the symbols that required me to press the space bar, and then left the others out-of-mind.","Despite the RNG nature of some of the symbols, I actually enjoyed participating in this task."
ef30xldwl7j3izl7jt7fwe6m,1,33.76,2,4,5,5,4,0,42,Female,,Not Hispanic or Latino,['White'],Yes,Very well,1,4,5,"I tried to write down the letter and if it needed to be repaired or not, but the pattern kept changing so it didn't do me too good",This was hard to figure out the pattern because it seemed to keep changing
eikef79388u89dy6ifgaxxa5,1,21.13,2,9,5,4,4,1,69,Female,,Not Hispanic or Latino,['White'],Yes,Very well,2,4,5,just tried to remember,no
eikef79388u89dy6ifgaxxa5,2,24.4,4,4,4,4,4,1,,,,,,,,2,4,5,"just my memory, lol",kinda fun!
eikef79388u89dy6ifgaxxa5,3,18.86,2,4,4,4,4,0,,,,,,,,2,4,5,just tried to remember,no
el0ja8yzvrgr2l2x9dfwf5dy,1,22.2,4,4,4,7,4,0,49,Female,,Not Hispanic or Latino,"['Asian', 'White']",Yes,Very well,2,5,5,"No, not at all. I just tried to rely on memory and what I thought would reasonably happen next. ",That was a neat study. Thank you for the opportunity!
eosra5kq5jfgpa0ls6nq97dr,1,21.24,16,7,4,4,4,0,40,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,1,4,no,no
er4bnf0luxyj6xmtp2wiehtt,1,19.27,0,4,4,4,4,0,27,Male,,Not Hispanic or Latino,['White'],Yes,Very well,2,2,5,"No, just tried my best to remember",No
er4bnf0luxyj6xmtp2wiehtt,2,19.09,0,4,4,4,4,0,,,,,,,,2,4,5,"No, used my memory to the best of my ability",No
er4bnf0luxyj6xmtp2wiehtt,3,26.03,4,4,4,4,4,0,,,,,,,,4,4,5,"No strategies, just memory.",No
faxwwzrl8mhwvmiw3f1k9g4o,1,21.91,85,6,7,6,4,0,28,Female,,Hispanic or Latino,['Black or African American'],Yes,Very well,2,3,3,initially I would make sure to do one classification of safe and unsafe for each symbol until I figured out which symbols were more probable to be faulty.,
ff8zqh921bzgmenoraj74hon,1,21.25,2,12,4,6,4,0,33,Female,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,Tried to find a pattern,nope
fgqdcso31ckw0cfuajjwak57,1,20.42,0,4,4,4,4,0,29,Male,,Not Hispanic or Latino,['White'],Yes,Very well,4,4,5,no strategies used other than trying to remember which to fix vs. ignore,
