subject,session,comprehension,difficulty,fun,clarity,strategy,feedback
5kfsrwk6isjumbygpci2nc1b,2,1,2,5,5,Trying to remember the symbols and their value. Did not write things down.,None
5s1xh81p48d3cgfopxg5th7b,2,1,5,5,5,I only remembered what I needed to accept.,
6h6js8ula53vd8q3q1xov9s2,2,1,4,3,5,no,no
6jh3218tkyseo1xlzimcqvys,2,1,5,5,5,No.,No.
6p1y7pl0nlfw1wn9m9hgqftk,2,1,3,5,5,tried to remember,"Thank You, it was fun."
6ueg047d0lkoiwaz3lddkv03,2,1,4,4,5,No,No
6v44zezjk7c1zcphfa0gtc1c,2,1,3,5,5,"yes, i noticed which ones gave 10 more often and minus 10 .Also stick with with the ones that gave better numbers despite the error of the scanner once in a while.",thank you
73axljwbabsrpj8gvfh5dabg,2,1,4,2,5,"I just tried to spot the ""Accept"" symbols and stick with them.",Well-designed and very clearly explained. Thanks
7iv5iyrqps4pg6vrc61221ul,2,1,3,5,5,"I tried to select many at the beginning to determine the ones to approve. Once I found that, I just stuck with those two to approve",none
84bneiymbaj8wii2y89ot9pm,2,1,2,4,5,No.,
8g18lriszq9mzwrvii4kud1f,2,1,4,4,5,I came up with names for the symbols to make it easier to memorize which ones meant complete and incomplete.,
9kg42bzf48f7hbwsvb15dcdw,2,1,3,3,4,none,none
a999bxrmsrbho722z3h1ixwx,2,1,4,3,5,Just memory,
c04g8el6o97pgtvk4dsvt4sb,2,1,4,3,5,I tried to remember in my head which ones not to accept.,
cfa2axc94u0j5uq6vkm6ws3k,2,1,3,4,5,memorizing and putting words to the symbols,
coz12o3u8bejfxzrobndpgvr,2,2,5,5,5,Just memorized which icons were correct and which were incorrect. Also stopped looking at the point counter as sometimes it would malfunction and I didn't need that clouding my judgement after I already knew what was correct and what was incorrect.,"Perhaps it would be interesting if the different lights used some of the same symbols, where in one light they were correct but in the other they weren't. "
cspu6oze190o8a7gb4wvbkgp,2,1,4,5,5,No writing. Just tried to remember when to accept once I figured out which symbols meant what.,Fun! I am still not sure if there's a rhyme or reason to when/why it malfunctions. I'm determined to figure it out!
d5lczvoy71v8c7w2xhhphgcb,2,2,4,5,5,No.,
dg4z3jsbfn20de6i05xme8h3,2,1,3,5,5,Remembering which symbols paid most,Nope.
dg96lmcvm2b8cwvc7zwcmqd5,2,1,3,4,5,"I tried to figure out what was right early on and I ignored the ""malfunctions.""  In other words, I stuck with one strategy and ignored any machine deviations.",N/A
drf5o1lo33plcbhrkknsm4kz,2,1,3,1,5,No I just worked off memory,
dwmjnt76sup1g25gjedh2pfb,2,1,4,4,4,No,NA
e7ldy6mpet45xr7wqa1ne5pw,2,2,4,4,5,No,No
fiwsf4ul3d58zfz1akws3jpo,2,1,4,5,5,I tried to remember what shape meant a rejection or acceptance.,Very interesting survey
fp7csa2rz19l6t90s0ftwn8v,2,1,4,5,5,just remembered,everything was clear
g7qeqtu8d01e6dito8a18uii,2,2,2,4,4,no,no
i1tfnk9rd0znvar0osctyab8,2,1,4,4,5,kept watching which symbols got the better score,thank you :) fun task!
ipgum2nxzkv3wg37c4w3qh6o,2,1,4,4,5,I remembered which symbol meant an incomplete or complete robot,The scanners in the last two rounds seemed to malfunction more often
ju0f49e2syj7yu56vwlehxyy,2,1,5,5,5,just tried to remember,
k9aubsm14o60l5ozagwbc8si,2,2,2,5,5,"I didn't write anything down, but I did try to look at the symbols and figure out which ones would get me the most points. Sometimes, it was difficult because when I thought it would be +10, it would say -10, so I had a little more difficult time finding the pattern on this one. If there is even a pattern, because sometimes when it would be +10 the next time, that symbol would be -10 or -1, so it was a bit difficult to figure out/ maybe it's random, I'm not sure.",Thank you for the opportunity to participate! :) These are really interesting and fun to try to figure out the symbols and points.
kdf364gyhp7cnlnv3h0wu7tq,2,1,5,5,5,I would accecpt robots untill I felt that I knew what the correct symbols were.,
kot5rz3je22hoavaecvsaodu,2,1,3,4,5,,
lklyh5d5d62lcannsm93uvmx,2,2,2,2,5,no,fun
lztau5qskxmhgxj4f07c2otv,2,1,4,3,5,No just focused.,No
m2j8nqjszft6h1ryq8q61fmy,2,1,5,4,5,"Trial and error to figure out which one is correct, sticking with my trust, giving the symbols names like 'P', 'Peak', 'I', etc.",No comments
m8r6o4nh90s3vbwadial0bfv,2,1,4,4,5,"No, I didn't use any particular strategy other than memorization.",No.
mkekir1x2ffpjt7wnlm9xupm,2,1,2,5,5,I didn't write anything down. I tried to remember the symbols,Really interesting!
mxwf5gguwvri7zxae22opke7,2,1,4,4,5,no,no
ndf4cr8g95xznbyy9bzdmchn,2,1,5,2,5,Nope.,
nz9zfobqkkrija2o8wpk80pj,2,2,2,2,5,no,no
odbc1avwxhy09ukmn5ymmefe,2,1,4,4,5,"no, I just tried to learn the shapes early in the round by guess and check, and then applied it by memory as the round went on",none
oemai1vch0xjh2tfdr718qw6,2,1,4,3,5,No strategies. Just paying attention.,no comments
osfqan6p1j4elf6478uhi2cc,2,1,3,4,5,Memorization of the shapes that yield greater points,No additional comments
osj8m0yvw306t6y74xe9o4qn,2,1,4,4,5,I would use the first few passes to try to figure out which symbols meant complete or not and then basically stuck with that throughout. ,
p5843ltu7lw25o03nbadzsaa,2,1,2,4,5,no,no
p5f3fscxjt1ulrzv5fr3nlhx,2,1,4,3,5,Just remember the two good and two bad symbols,
qhwl1mwjpvnd9ju8e7yz68b2,2,1,1,1,2,no,Inconsistent scanning makes you lose too many points
qoxp3z22sxf0oiq3tg13tfjw,2,1,4,3,4,pay attention to the symbols,no
qz9a56zl60mfwv7umkwwph2d,2,1,4,4,5,"nope, just trial and error, like last time!","I appreciate it, Niv!"
rci3lcophxwhturxe4bx1cj9,2,1,4,5,5,no,
rl9qohmfkxokqsrwgf3e6uvz,2,1,5,4,5,"Not really, I tried accepting and rejecting each symbol and then went with what seemed to match the most points each time.",None
sfnb1wv4zqbp2g1pgpri2b6n,2,1,5,5,5,remember the symbols,none
sldfzozvya0866f3mwvojl0g,2,1,4,4,5,"No, I was just going off of memory.",None
sm5nnykjuou0ucd6iydv21bx,2,1,5,4,5,"No, there really isn't much to it.  After the first few trials it is easy to figure out which symbols to accept and reject.",Does it have to look like the robot from Iron Giant?  It makes it harder to reject it lol.
sr0xjnvm85vs64bpp2vniu0u,2,1,3,5,5,Wrote down each symbol.  Kept track of correct answers which eventually converged on their true classification.,
stgt2bwysexroszj1fsfw7m2,2,1,3,3,5,I used my memory,no
t1y3gw8hh5yw5j4dcpvixjkg,2,1,4,4,5,"I was trying to find a pattern with the malfunctioning light, but I mostly stuck to finding the correct symbol for a complete robot.",
te8lv9mcydnr2gfteeony4tx,2,1,4,4,5,I made up words for the symbols.,
telvsjfuohblsio4g1vjjrf8,2,1,4,4,5,i just found out which ones would pay the most and stuck with them throughout,
u1yahm3i373lvy46e68roh9k,2,1,5,4,5,remembered the correct symbols throughout,Thanks for the HIT!
ubbgbypw5bvfev15ma7swm4j,2,1,4,1,5,no,no
ul8vo5g8rz3r5jp5zbtpznof,2,1,5,5,5,I followed the instructions as expected ,Very interactive study 
v32lbqm6bqaj6831d8tng6hn,2,1,4,5,5,I wrote down two symbols in tests 3 and 4. ,"I started off poorly in my opinion. It took me a little time to ""get going"" so I think I did much better in 3 and 4."
v6ag7qnuysho3wws8lnmg47r,2,1,5,4,5,"No, I didn't use any particular strategy. Just tried to remember the symbol that would maximize by gain and minimize my lose.",
v9k6n64hnw8hkg4cj1gi8b2p,2,1,5,5,5,no,no
vkkhzo5vo6hete7ff0czcb04,2,1,4,5,5,Just watch the symbols and ignore the light color and error rate. ,It was fun!
w4i3zftzk81kn6zqkd7jt2k7,2,1,4,3,5,I just associated what the symbols looked like with letters and by numerous trials associated each with a positive response from pressing or not pressing.,Very fun and interesting study.
wbzt9bh8zuien3221yh6rao0,2,1,4,4,5,memorization,n/a
wcl8t0q0vchm8ituba7c1ls5,2,1,4,4,5,I did not write anything down. My only strategy was figuring out how many symbols there were and which I perceived as right/wrong.,
xe4y3wjth90p0vfgki0beff4,2,1,4,4,5,no,none
xet0i5hcytbgz14tmtwlr9dy,2,1,3,4,5,I just tried to remember the robots,
xg2518nfozv44h2x9oibsayj,2,2,4,3,5,"No, I did not use any specific strategy apart from keeping track in my head of which symbols corresponded with a likely to be completed versus incomplete robot.",
xpmique3djjgli63fytwqxx0,2,1,3,2,4,"No, not really other than remembering which to press space on.",
xvobs4rpjasm65b174jexrh6,2,2,4,4,4,no,
y6mtiyl0fovt18hy2cyjyhtf,2,1,5,5,5,only memorization,
yioiqliweevmi62w56el04vm,2,1,5,5,5,"I did not use any strategies, just my memorization skills",
yynz7n0qxjkm01alpqutecfa,2,1,5,4,5,no,no
zp309icv0mikrt590td60goa,2,1,4,4,5,I rejected the first 4 robots of each batch to determine which I should have approved and remembered those symbols.,I am interested to know if the machine malfunctions in intervals.  I am attempting to track/remember the malfunctions but have not yet determined an obvious pattern.
