subject,session,comprehension,difficulty,fun,clarity,strategy,feedback
6jh3218tkyseo1xlzimcqvys,4,1,5,5,5,No.,No.
6p1y7pl0nlfw1wn9m9hgqftk,4,1,4,5,5,tried to remember,"Thank You, it was fun."
6ueg047d0lkoiwaz3lddkv03,4,1,5,3,5,No,No
6v44zezjk7c1zcphfa0gtc1c,4,1,5,5,4,after figuring out which ones give me more and less and which ones took off less and more i  kept selecting them even if there was glitches at times.,thank you
7iv5iyrqps4pg6vrc61221ul,4,1,4,4,5,I pressed space on several items initially to narrow down which items had postive results,none
84bneiymbaj8wii2y89ot9pm,4,1,2,5,5,I just tried to remember which pattern was complete vs. incomplete.,
8g18lriszq9mzwrvii4kud1f,4,1,4,4,5,I mentally named the symbols to more easily remember which to approve.,Everything was easy to understand and I enjoy doing this task :)
9kg42bzf48f7hbwsvb15dcdw,4,1,4,3,4,none,none
a999bxrmsrbho722z3h1ixwx,4,1,4,3,5,Just tried to remember the signs on the robots. ,
c04g8el6o97pgtvk4dsvt4sb,4,1,4,3,5,kept note in my head which ones should be rejected,
coz12o3u8bejfxzrobndpgvr,4,1,5,5,5,establishing as early as possible what symbols were correct to take action on.,
cspu6oze190o8a7gb4wvbkgp,4,1,4,4,5,DIdn't write anything down. Just tried to figure out from the start which were to be accepted and which ones weren't. ,Still trying to figure out if there's a rhyme or reason when the machine malfunctions!
dg4z3jsbfn20de6i05xme8h3,4,1,4,5,5,Learn good vs bad symbols,"None, thank you."
dg96lmcvm2b8cwvc7zwcmqd5,4,1,4,4,5,"No, I mentally juggled and kept track of what I thought to be the right choices.",Fun task! Love this HIT.
drf5o1lo33plcbhrkknsm4kz,4,1,3,2,5,I just worked from memory about which shapes and lights corresponded to the best pay off,
dwmjnt76sup1g25gjedh2pfb,4,1,4,3,5,I just pressed space every time I saw the yellow light come on.,N/A
e7ldy6mpet45xr7wqa1ne5pw,4,1,5,3,5,"I press space for all of them at the beginning and just assume the system will give the correct answer. If it changes the second time around for one of the icons, then I do the opposite of what I did before.",No
ea0k6vqrjovnxvqd2dcivslk,4,1,4,5,5,I Always test out the symbols in the beginning and then stick with the ones that are consistently correct according the computer,Nope!
fp7csa2rz19l6t90s0ftwn8v,4,1,4,5,5,just remembered,no problems
gd6lbuycu8vux2kk0dz46s2w,4,1,4,3,5,I simply tried to remember the symbols,no
i1tfnk9rd0znvar0osctyab8,4,1,5,5,4,kept watching which symbols got the better score,thank you :) fun task!
ipgum2nxzkv3wg37c4w3qh6o,4,1,5,4,5,I remembered which ones were complete or incomplete,
ju0f49e2syj7yu56vwlehxyy,4,1,5,5,5,just tried to remember,no
kdf364gyhp7cnlnv3h0wu7tq,4,1,5,5,5,I tried to associate the symbols with letters to remember what one were worth the most points.,
kot5rz3je22hoavaecvsaodu,4,1,3,4,5,I looked for patterns in how the points were awarded.,
lklyh5d5d62lcannsm93uvmx,4,1,4,4,5,no,no
lztau5qskxmhgxj4f07c2otv,4,1,5,3,5,no just memory,
m2j8nqjszft6h1ryq8q61fmy,4,1,5,4,5,Same as before. Trial and error & memorizing,No comments
m8r6o4nh90s3vbwadial0bfv,4,1,5,4,5,I didn't write anything down. I just kept note in my head about which actions and results were connected.,"No, I do not."
mkekir1x2ffpjt7wnlm9xupm,4,1,3,5,5,I tried to concentrate on the symbols,Interesting task
mxwf5gguwvri7zxae22opke7,4,1,4,3,5,no,
ndf4cr8g95xznbyy9bzdmchn,4,1,5,2,5,No.,
nz9zfobqkkrija2o8wpk80pj,4,1,4,2,5,no,no
odbc1avwxhy09ukmn5ymmefe,4,1,4,4,5,"just work really hard with guess and check within the first 10 to 15 robots, then once you learn the approvals and rejects just stay the course throughout, and don't worry about the scanner malfunctions.",none
oemai1vch0xjh2tfdr718qw6,4,1,4,3,5,No strategies.,No comments.
osfqan6p1j4elf6478uhi2cc,4,1,3,4,5,Memorization of the shapes that yield higher points.,Thanks.
osj8m0yvw306t6y74xe9o4qn,4,1,4,3,5,I would use the first few passes to try to figure out which symbols meant complete or not and then basically stuck with that throughout. ,none at this time
p5843ltu7lw25o03nbadzsaa,4,1,2,4,5,no,none
p5f3fscxjt1ulrzv5fr3nlhx,4,1,4,3,5,,
qhwl1mwjpvnd9ju8e7yz68b2,4,1,4,2,4,remembered the symbols,
qoxp3z22sxf0oiq3tg13tfjw,4,2,4,3,4,pay attention to patterns,no
qz9a56zl60mfwv7umkwwph2d,4,1,5,5,5,the usual trial and error.,"I appreciate it, guys!"
rci3lcophxwhturxe4bx1cj9,4,2,2,5,5,no,
rl9qohmfkxokqsrwgf3e6uvz,4,1,4,4,5,Just a trial and error attempting to accept and then reject each symbol once to figure out which was the right choice.,None
sfnb1wv4zqbp2g1pgpri2b6n,4,1,5,5,5,remember the symbols,none
sldfzozvya0866f3mwvojl0g,4,1,4,4,5,"No, I was just going off of memory.",None
sm5nnykjuou0ucd6iydv21bx,4,1,5,4,5,"Nope.  It's pretty simple, really.",Thanks!
sr0xjnvm85vs64bpp2vniu0u,4,1,4,5,5,"Wrote things down, as each previous time.",The change of colors really threw me off at first.
stgt2bwysexroszj1fsfw7m2,4,1,4,3,5,Used my memory,no
t1y3gw8hh5yw5j4dcpvixjkg,4,2,4,4,5,I mostly remembered that yellow gives points while blue takes away points while trying to quickly figure out the symbols that represented a complete robot.,I felt the machine is malfunctioning more often than usual.
te8lv9mcydnr2gfteeony4tx,4,1,5,4,5,none,no
telvsjfuohblsio4g1vjjrf8,4,1,5,4,5,i tried each robot to see which ones were the +10 and -1 and once i figured that out i just kept hitting space when they came up,
ubbgbypw5bvfev15ma7swm4j,4,1,4,1,5,no,no
ul8vo5g8rz3r5jp5zbtpznof,4,1,4,5,5,i focused on the symbols ,very interactive study
v32lbqm6bqaj6831d8tng6hn,4,1,5,5,5,I wrote down the symbols I needed to press space on. ,I've enjoyed this task. I think I improved this time! 
v6ag7qnuysho3wws8lnmg47r,4,1,5,4,5,I just tried to focus on the symbols that would maximize my bonus and minimize my lost.,N/A
v9k6n64hnw8hkg4cj1gi8b2p,4,1,5,5,5,no,no
vunoao3ndpdppgruy4molrto,4,1,4,4,5,,
wbzt9bh8zuien3221yh6rao0,4,1,4,4,5,memorization,n/a
wcl8t0q0vchm8ituba7c1ls5,4,1,4,4,5,I just memorized what symbols I thought were best to hit space on.,
xe4y3wjth90p0vfgki0beff4,4,1,4,4,5,no,no
xet0i5hcytbgz14tmtwlr9dy,4,1,3,4,5,I just tried to remember the robots,Everything went well.
xg2518nfozv44h2x9oibsayj,4,1,4,3,5,I simply memorized which two symbols were correct.,
xpmique3djjgli63fytwqxx0,4,1,4,3,5,"No, I only used my memory.",
xvobs4rpjasm65b174jexrh6,4,1,2,4,4,no,
y6mtiyl0fovt18hy2cyjyhtf,4,1,5,5,5,only memorization,
yewselly2twm866hfeimbufp,4,1,5,5,5,I didn't write anything down and just relied on my memory,none
yioiqliweevmi62w56el04vm,4,1,5,5,5,"I basically just tried to use my memory to see which robot was complete or incomplete, I did not write anything down.",This was a fun experiment that I enjoyed.
yynz7n0qxjkm01alpqutecfa,4,1,5,4,5,No,No
zp309icv0mikrt590td60goa,4,1,5,5,5,"I let all the robots be rejected in the beginning to determine which ones I should accept going forward.  I also tried to see if the machinery malfunctioned at certain intervals, but was not able to find any pattern.",
zs0ivt9u3ettlwl99p77nrl8,4,1,4,4,5,none,none
